# Constructed from biom file
#OTU ID	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	1.0	2.0	5.0	4.0	5.0	0.0	4.0	11.0	11.0	1.0	8.0	9.0	1.0	4.0	1.0	15.0	6.0	8.0	2.0	3.0	3.0	22.0	20.0	1.0	3.0	9.0	1.0	6.0	0.0	3.0	6.0	16.0	2.0	6.0	2.0	6.0	2.0	14.0	0.0	3.0	7.0	2.0	3.0	1.0	1.0	4.0	6.0	2.0	6.0	1.0	1.0	25.0	3.0	4.0	14.0	2.0	6.0	8.0	16.0	6.0	14.0	4.0	7.0	14.0	8.0	86.0	59.0	3.0	21.0	3.0	2.0	6.0	5.0	10.0	4.0	6.0	6.0	5.0	4.0	4.0	5.0	6.0	4.0	37.0	1.0	7.0	12.0	17.0	23.0	1.0	9.0	14.0	13.0	30.0	41.0	56.0	34.0	12.0	9.0	10.0	87.0	61.0	9.0	19.0	12.0	4.0	2.0	5.0	10.0	13.0	146.0	10.0	0.0	2.0	4.0
ABC transporters	343231.0	440780.0	1643545.0	1657243.0	986577.0	5416335.0	3876436.0	2499027.0	1510415.0	2925549.0	1574054.0	2217834.0	1600733.0	1009261.0	1354712.0	1458619.0	1136801.0	1513576.0	1198608.0	727081.0	898213.0	970622.0	2589788.0	961294.0	1383080.0	723751.0	1544917.0	2552003.0	28515.0	1184178.0	2220952.0	839139.0	502377.0	742878.0	580954.0	1581913.0	531125.0	612080.0	6043.0	604059.0	1563294.0	1448178.0	892920.0	607922.0	433120.0	1292097.0	1380514.0	1896293.0	1065525.0	2034076.0	373665.0	809131.0	778677.0	730465.0	1548901.0	518158.0	1327153.0	1042954.0	606902.0	789872.0	1103538.0	1065973.0	904615.0	1762269.0	284823.0	2695610.0	3680927.0	1305585.0	1147548.0	901346.0	466375.0	383147.0	877618.0	636177.0	567188.0	2659630.0	1168067.0	798634.0	1586908.0	793649.0	1035391.0	1291810.0	3516237.0	3983367.0	1028177.0	2583674.0	698020.0	1590315.0	2176829.0	1123972.0	3392000.0	3118661.0	1022161.0	3816178.0	2193544.0	3130579.0	2899833.0	2633485.0	5521441.0	3474439.0	3451865.0	4390703.0	2083059.0	4191807.0	2305362.0	2081799.0	2095396.0	1456339.0	1586766.0	2233213.0	1649207.0	1143585.0	914606.0	1035488.0	1238649.0
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adipocytokine signaling pathway	4941.0	6984.0	28752.0	20803.0	16082.0	32493.0	36469.0	39900.0	22241.0	28606.0	24770.0	31635.0	20446.0	14636.0	20018.0	34217.0	21265.0	35363.0	18985.0	13215.0	14232.0	25275.0	59096.0	12716.0	23547.0	14103.0	20864.0	32568.0	453.0	27470.0	28468.0	27574.0	6120.0	13186.0	10755.0	23155.0	9259.0	14001.0	129.0	7950.0	21604.0	15679.0	14299.0	10941.0	6261.0	24299.0	18939.0	25097.0	22520.0	24446.0	6353.0	12090.0	10648.0	8840.0	23283.0	6739.0	17839.0	21907.0	8961.0	16158.0	16264.0	23946.0	10892.0	32944.0	8462.0	59802.0	87475.0	14358.0	20763.0	14629.0	9607.0	6810.0	14514.0	13089.0	12098.0	55399.0	17433.0	13332.0	22267.0	12078.0	19651.0	19997.0	37618.0	71036.0	19673.0	54367.0	20231.0	43796.0	54315.0	21581.0	64854.0	62051.0	20388.0	105046.0	56911.0	73134.0	79845.0	28521.0	113066.0	68261.0	61964.0	77761.0	25739.0	70599.0	29074.0	29220.0	30624.0	21843.0	20088.0	27456.0	34037.0	17595.0	14654.0	15957.0	16299.0
African trypanosomiasis	15.0	42.0	292.0	1017.0	55.0	565.0	1163.0	185.0	107.0	178.0	117.0	614.0	251.0	55.0	78.0	108.0	96.0	160.0	123.0	81.0	13.0	25.0	62.0	30.0	109.0	655.0	224.0	136.0	118.0	19.0	475.0	112.0	80.0	81.0	41.0	391.0	30.0	97.0	12.0	22.0	184.0	111.0	184.0	124.0	503.0	476.0	81.0	333.0	90.0	299.0	28.0	77.0	68.0	49.0	145.0	382.0	122.0	326.0	158.0	201.0	1805.0	191.0	90.0	266.0	120.0	760.0	830.0	180.0	92.0	58.0	24.0	639.0	254.0	88.0	33.0	446.0	240.0	87.0	213.0	53.0	474.0	33.0	311.0	281.0	26.0	71.0	76.0	416.0	95.0	80.0	216.0	181.0	121.0	312.0	178.0	260.0	240.0	118.0	648.0	235.0	3082.0	621.0	89.0	140.0	548.0	145.0	106.0	205.0	203.0	113.0	150.0	516.0	117.0	93.0	28.0
Alanine, aspartate and glutamate metabolism	101642.0	140928.0	502645.0	457084.0	294966.0	1246761.0	968075.0	742095.0	424836.0	741666.0	497475.0	618744.0	422737.0	278291.0	402275.0	502945.0	346827.0	520075.0	356023.0	234521.0	265482.0	341170.0	844877.0	273087.0	431964.0	233027.0	430866.0	713405.0	10057.0	394985.0	635883.0	352525.0	137147.0	237871.0	178127.0	462329.0	166490.0	207080.0	2045.0	169808.0	432223.0	387106.0	276034.0	184619.0	123135.0	419310.0	390290.0	537259.0	358058.0	583101.0	108061.0	237414.0	220781.0	200167.0	445290.0	135977.0	371455.0	352275.0	176527.0	255106.0	332944.0	368217.0	248354.0	578955.0	108166.0	937400.0	1370952.0	352060.0	360527.0	257441.0	152931.0	104762.0	253548.0	213203.0	191582.0	852376.0	331982.0	232465.0	445480.0	239223.0	335158.0	365846.0	948770.0	1304606.0	321889.0	812367.0	264226.0	586358.0	756462.0	356114.0	1001351.0	970081.0	318430.0	1412228.0	823377.0	1116339.0	1121303.0	715242.0	1649342.0	1132435.0	1060424.0	1432283.0	600865.0	1242965.0	696128.0	603100.0	631183.0	431576.0	408555.0	601770.0	567851.0	322932.0	276541.0	307259.0	341727.0
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer's disease	4308.0	5929.0	21666.0	20330.0	12615.0	50182.0	40772.0	30895.0	17848.0	30592.0	20937.0	26606.0	17743.0	11464.0	16901.0	21552.0	14461.0	22550.0	15108.0	9819.0	11278.0	14962.0	36407.0	11657.0	18339.0	10885.0	18377.0	29540.0	1581.0	16892.0	26719.0	14294.0	5945.0	10260.0	7561.0	20099.0	6890.0	8864.0	162.0	7354.0	17971.0	16330.0	11471.0	8057.0	5751.0	19206.0	16320.0	23031.0	15096.0	25058.0	4592.0	10019.0	9055.0	8357.0	18157.0	5963.0	15877.0	15172.0	7544.0	10782.0	15527.0	15776.0	10757.0	24352.0	4637.0	40966.0	57249.0	14731.0	14725.0	10613.0	6461.0	5861.0	10659.0	9705.0	8103.0	38727.0	13752.0	9670.0	18383.0	9821.0	14684.0	15406.0	39583.0	54624.0	13673.0	34722.0	11592.0	28029.0	32232.0	16186.0	42737.0	41897.0	13323.0	60505.0	35063.0	47763.0	48795.0	30095.0	88490.0	49760.0	48786.0	61599.0	24789.0	53142.0	29931.0	25307.0	26356.0	17941.0	17008.0	27952.0	24342.0	14043.0	11519.0	12883.0	14271.0
Amino acid metabolism	20552.0	27365.0	103453.0	96566.0	60049.0	253509.0	200558.0	165871.0	85437.0	155012.0	95825.0	129167.0	90834.0	60559.0	82193.0	100115.0	74258.0	107231.0	71240.0	46653.0	55712.0	67086.0	173014.0	51974.0	84808.0	48027.0	86896.0	133336.0	1617.0	76291.0	120155.0	69932.0	27790.0	49104.0	35929.0	96904.0	32625.0	42641.0	395.0	36414.0	91498.0	75719.0	58179.0	39289.0	25611.0	87691.0	82049.0	106364.0	76260.0	117742.0	22054.0	49692.0	45825.0	40844.0	88381.0	29468.0	74552.0	70036.0	37424.0	51338.0	72464.0	76595.0	52272.0	117102.0	21528.0	192894.0	281283.0	74623.0	70874.0	53738.0	32089.0	23713.0	51529.0	44257.0	38670.0	175859.0	70426.0	49548.0	95346.0	47688.0	70609.0	77988.0	188579.0	252180.0	65960.0	172496.0	52302.0	127818.0	152977.0	77168.0	219344.0	208032.0	66208.0	285151.0	164335.0	235516.0	220680.0	138596.0	359278.0	211339.0	229987.0	309197.0	120555.0	317588.0	135221.0	127375.0	120580.0	86365.0	83594.0	125598.0	110917.0	70052.0	58645.0	64570.0	70195.0
Amino acid related enzymes	141914.0	194685.0	704180.0	648158.0	411022.0	1802810.0	1397962.0	1034042.0	597887.0	1066114.0	689936.0	871398.0	591063.0	392130.0	563153.0	686764.0	478763.0	715501.0	502421.0	323790.0	371855.0	469971.0	1165226.0	389383.0	605533.0	326317.0	613401.0	1008826.0	23505.0	542747.0	902387.0	462299.0	196303.0	333162.0	248037.0	650002.0	228721.0	282286.0	2876.0	241273.0	605123.0	555123.0	380246.0	259950.0	175280.0	587218.0	547659.0	761421.0	491994.0	818390.0	152455.0	334718.0	309047.0	281243.0	619807.0	194326.0	531123.0	482093.0	246364.0	352337.0	468952.0	490864.0	352924.0	790027.0	144231.0	1281793.0	1842598.0	500061.0	492451.0	360006.0	209943.0	148224.0	355215.0	299044.0	261642.0	1200835.0	462247.0	326476.0	624878.0	331766.0	465934.0	514611.0	1345533.0	1801962.0	449752.0	1130755.0	357578.0	803967.0	1052714.0	496246.0	1414061.0	1373223.0	439549.0	1908410.0	1099117.0	1501934.0	1513519.0	1012589.0	2376029.0	1562029.0	1521699.0	1956491.0	840493.0	1750109.0	983783.0	841099.0	869000.0	599919.0	583113.0	874674.0	773388.0	458895.0	383183.0	425336.0	484773.0
