# Constructed from biom file
#OTU ID	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
560336	76.2	70.2	371.4	140.6	94.0	4.4	167.8	257.6	255.0	101.6	210.0	291.8	219.8	103.4	69.2	455.6	114.0	357.2	61.6	126.4	69.8	211.4	448.8	33.4	32.8	109.2	65.6	174.4	0.0	154.6	165.0	650.4	32.4	82.6	92.4	142.8	120.4	140.2	1.2	36.0	316.6	57.4	237.4	39.6	45.6	270.8	255.0	130.2	252.0	159.8	23.6	415.6	108.4	64.0	289.0	39.4	95.6	389.8	125.8	130.6	172.4	605.4	116.8	401.0	365.4	692.2	834.8	35.8	651.2	199.4	144.4	9.4	195.2	50.0	220.0	527.2	300.0	100.6	227.0	99.0	178.4	65.4	192.8	573.6	98.2	260.2	145.2	425.4	338.2	127.4	306.8	235.4	273.0	1434.4	846.6	1534.0	448.4	98.0	436.4	663.4	451.4	1279.8	224.8	529.6	136.4	129.0	181.4	288.8	139.4	146.2	723.8	115.6	127.4	243.0	99.8
264734	82.66666666666667	280.6666666666667	616.6666666666666	237.33333333333334	404.3333333333333	1041.3333333333333	670.6666666666666	1389.3333333333333	701.3333333333334	574.3333333333334	589.0	1975.3333333333333	138.66666666666666	224.0	557.3333333333334	528.0	715.6666666666666	591.0	173.33333333333334	263.0	162.33333333333334	242.66666666666666	878.0	52.333333333333336	397.3333333333333	137.33333333333334	275.3333333333333	397.3333333333333	2.0	388.0	631.0	998.0	116.66666666666667	733.0	85.0	319.6666666666667	265.0	188.0	4.0	135.33333333333334	527.6666666666666	175.0	334.6666666666667	202.66666666666666	43.333333333333336	292.0	554.3333333333334	347.6666666666667	491.6666666666667	362.3333333333333	73.0	118.0	337.3333333333333	211.0	569.0	83.0	306.3333333333333	185.66666666666666	130.33333333333334	319.3333333333333	472.3333333333333	1517.6666666666667	163.66666666666666	1912.3333333333333	229.33333333333334	1504.6666666666667	3709.3333333333335	357.0	403.0	157.66666666666666	258.0	44.333333333333336	186.0	309.0	220.66666666666666	270.3333333333333	393.0	190.0	799.0	548.6666666666666	174.0	288.6666666666667	1034.0	1858.0	294.6666666666667	845.3333333333334	454.0	891.0	783.0	696.3333333333334	789.6666666666666	1086.3333333333333	301.6666666666667	3365.6666666666665	1095.6666666666667	1358.0	2801.0	648.6666666666666	1328.6666666666667	2690.3333333333335	1173.3333333333333	2908.3333333333335	777.3333333333334	2495.6666666666665	1185.0	450.3333333333333	1530.6666666666667	241.33333333333334	210.33333333333334	605.3333333333334	1296.0	165.33333333333334	589.6666666666666	361.0	223.33333333333334
337511	0.5	0.0	2.5	3.75	2.5	9.5	8.75	8.75	4.75	4.75	0.0	6.0	0.0	2.75	2.25	8.25	3.5	6.0	3.0	1.75	0.25	3.0	2.75	1.5	2.25	1.0	8.25	0.0	0.0	5.0	6.5	4.5	1.25	3.5	0.5	7.0	0.25	1.5	0.0	0.0	1.0	3.25	3.25	3.5	0.75	4.5	8.0	5.0	1.25	6.0	1.0	3.5	0.25	0.75	5.75	0.5	1.25	2.0	0.5	1.0	3.25	7.0	0.25	0.75	0.5	6.75	18.0	4.5	1.5	2.5	0.25	0.0	2.75	3.0	4.0	7.75	5.25	3.25	4.0	2.0	1.0	3.5	4.0	3.25	2.0	13.25	4.0	3.75	7.0	0.0	10.25	9.25	4.25	13.0	15.75	11.0	10.25	5.5	24.75	6.5	24.0	15.0	5.5	8.0	9.75	6.25	7.5	2.5	4.5	3.5	4.0	0.5	0.75	2.5	5.5
339229	35.0	59.0	72.0	308.0	191.0	2096.0	137.0	215.0	44.0	343.0	232.0	116.0	158.0	29.0	163.0	35.0	26.0	189.0	38.0	13.0	155.0	8.0	86.0	27.0	30.0	35.0	128.0	145.0	0.0	59.0	279.0	18.0	27.0	8.0	150.0	290.0	128.0	43.0	0.0	114.0	232.0	45.0	62.0	33.0	13.0	3.0	360.0	505.0	7.0	402.0	4.0	171.0	14.0	29.0	51.0	48.0	33.0	46.0	131.0	113.0	13.0	123.0	0.0	12.0	6.0	368.0	0.0	12.0	97.0	82.0	5.0	0.0	61.0	20.0	34.0	12.0	36.0	14.0	172.0	31.0	1.0	125.0	235.0	278.0	155.0	39.0	20.0	36.0	24.0	130.0	19.0	45.0	120.0	13.0	153.0	233.0	251.0	119.0	19.0	355.0	102.0	182.0	223.0	18.0	6.0	121.0	103.0	31.0	17.0	130.0	63.0	62.0	30.0	47.0	63.0
331772	30.333333333333332	67.66666666666667	161.0	228.33333333333334	267.6666666666667	298.0	97.66666666666667	257.3333333333333	163.0	136.33333333333334	224.66666666666666	326.6666666666667	86.0	52.333333333333336	105.66666666666667	433.0	168.33333333333334	135.0	73.33333333333333	62.666666666666664	100.33333333333333	158.66666666666666	186.33333333333334	52.333333333333336	83.0	83.66666666666667	92.0	48.666666666666664	0.0	158.33333333333334	302.6666666666667	343.6666666666667	40.0	93.0	25.666666666666668	44.666666666666664	89.66666666666667	130.33333333333334	0.3333333333333333	34.0	160.33333333333334	31.666666666666668	77.33333333333333	31.666666666666668	22.0	57.666666666666664	184.33333333333334	56.0	172.33333333333334	69.33333333333333	18.333333333333332	43.666666666666664	50.666666666666664	95.66666666666667	164.0	35.666666666666664	56.0	88.66666666666667	42.333333333333336	73.0	68.0	282.3333333333333	48.0	258.0	161.66666666666666	449.0	680.6666666666666	72.33333333333333	93.33333333333333	111.66666666666667	36.666666666666664	0.0	55.333333333333336	20.333333333333332	55.0	273.0	118.66666666666667	49.666666666666664	123.66666666666667	97.0	46.0	87.66666666666667	282.0	559.3333333333334	53.333333333333336	244.0	278.0	564.3333333333334	473.6666666666667	187.33333333333334	436.3333333333333	303.0	109.33333333333333	1492.6666666666667	761.3333333333334	374.3333333333333	781.6666666666666	202.0	476.0	599.3333333333334	237.33333333333334	1737.0	177.0	311.3333333333333	333.0	145.33333333333334	273.0	106.0	70.66666666666667	156.66666666666666	266.0	76.33333333333333	101.33333333333333	80.0	105.33333333333333
4440360	53.75	37.25	0.0	17.75	0.0	708.0	345.0	591.75	166.0	410.75	0.5	1028.0	0.0	29.25	83.25	345.5	456.5	260.0	290.75	0.25	114.75	449.0	958.0	300.0	25.75	2.25	192.0	83.0	0.25	457.25	1.0	65.75	32.0	72.25	55.0	70.25	89.5	189.0	0.5	5.25	0.5	5.5	0.25	147.5	82.75	0.0	174.75	0.25	212.5	72.0	56.75	38.75	106.75	63.0	0.0	142.25	0.0	4.75	43.75	173.0	1.0	219.25	105.25	256.5	34.0	4.0	184.0	83.0	253.75	251.25	0.0	0.5	223.5	1.5	200.5	407.5	81.25	203.75	16.5	0.25	107.75	0.0	3.5	337.5	410.25	742.25	186.25	2.0	0.75	0.5	222.5	0.25	0.0	2.25	121.0	0.75	835.5	560.75	386.0	831.25	1.75	1096.0	0.0	1984.25	0.25	359.0	1.0	0.5	0.75	251.0	1.75	0.0	2.0	91.5	60.25
276674	10.666666666666666	4.0	88.0	88.66666666666667	27.333333333333332	82.0	234.33333333333334	16.666666666666668	24.666666666666668	16.0	0.0	47.333333333333336	0.0	44.666666666666664	41.333333333333336	7.666666666666667	13.333333333333334	3.3333333333333335	28.333333333333332	16.333333333333332	56.333333333333336	6.0	112.33333333333333	9.333333333333334	4.333333333333333	11.0	24.0	27.333333333333332	0.0	7.333333333333333	0.0	29.0	1.6666666666666667	22.0	11.0	22.333333333333332	1.3333333333333333	7.0	0.0	23.0	82.33333333333333	3.0	35.0	0.3333333333333333	7.0	126.66666666666667	14.333333333333334	8.333333333333334	33.0	2.0	10.0	20.333333333333332	5.666666666666667	28.0	3.0	3.3333333333333335	12.0	41.0	0.3333333333333333	28.666666666666668	0.3333333333333333	13.333333333333334	0.0	1.3333333333333333	0.0	1.0	1.3333333333333333	0.6666666666666666	43.333333333333336	15.0	13.333333333333334	0.0	5.0	0.3333333333333333	17.0	13.666666666666666	12.333333333333334	18.666666666666668	10.0	19.0	54.666666666666664	55.666666666666664	0.0	38.0	37.666666666666664	143.66666666666666	19.0	1.6666666666666667	54.333333333333336	7.333333333333333	25.333333333333332	97.0	44.0	29.666666666666668	30.0	161.33333333333334	9.0	39.0	63.333333333333336	4.666666666666667	46.666666666666664	2.0	0.0	9.0	37.333333333333336	75.66666666666667	25.333333333333332	35.0	46.0	2.0	31.333333333333332	7.333333333333333	75.0	18.0	6.666666666666667
264240	146.33333333333334	88.0	290.3333333333333	132.33333333333334	104.33333333333333	38.666666666666664	499.3333333333333	730.3333333333334	140.66666666666666	869.6666666666666	480.3333333333333	219.66666666666666	429.0	144.33333333333334	580.6666666666666	188.0	123.0	1024.6666666666667	450.6666666666667	309.0	975.0	620.6666666666666	930.0	504.3333333333333	887.3333333333334	295.6666666666667	469.6666666666667	669.0	3.6666666666666665	411.6666666666667	365.6666666666667	38.666666666666664	192.33333333333334	254.0	173.66666666666666	758.3333333333334	86.0	154.66666666666666	0.6666666666666666	201.66666666666666	130.66666666666666	242.0	140.66666666666666	281.6666666666667	31.333333333333332	955.0	196.0	1298.6666666666667	314.6666666666667	744.6666666666666	92.0	111.33333333333333	76.66666666666667	36.333333333333336	202.33333333333334	50.333333333333336	303.3333333333333	207.33333333333334	83.33333333333333	243.33333333333334	39.333333333333336	75.66666666666667	197.33333333333334	174.66666666666666	4.0	1212.6666666666667	527.6666666666666	547.0	162.33333333333334	238.66666666666666	212.0	27.333333333333332	88.66666666666667	466.3333333333333	297.6666666666667	2262.6666666666665	105.66666666666667	233.66666666666666	347.3333333333333	32.0	536.0	431.6666666666667	949.0	895.6666666666666	291.0	2117.3333333333335	412.0	556.6666666666666	1465.6666666666667	533.6666666666666	2229.6666666666665	2621.6666666666665	181.33333333333334	1366.3333333333333	1019.0	1599.6666666666667	1285.0	194.0	4165.333333333333	540.3333333333334	1057.6666666666667	316.6666666666667	358.3333333333333	1012.3333333333334	835.3333333333334	435.6666666666667	129.33333333333334	146.0	88.0	441.3333333333333	65.33333333333333	173.33333333333334	200.66666666666666	137.66666666666666	520.6666666666666
348336	7.666666666666667	1.6666666666666667	18.0	14.666666666666666	8.0	88.66666666666667	32.666666666666664	20.0	15.666666666666666	34.666666666666664	21.666666666666668	16.333333333333332	21.666666666666668	7.0	22.666666666666668	14.666666666666666	6.333333333333333	6.333333333333333	5.333333333333333	2.0	12.333333333333334	5.333333333333333	15.333333333333334	4.0	6.0	3.6666666666666665	2.0	10.333333333333334	0.0	6.0	62.0	5.0	7.333333333333333	1.3333333333333333	5.0	13.666666666666666	11.0	4.0	0.0	4.666666666666667	11.0	13.666666666666666	14.666666666666666	1.3333333333333333	2.3333333333333335	6.0	35.666666666666664	33.0	5.0	19.666666666666668	0.6666666666666666	2.6666666666666665	6.0	3.3333333333333335	32.666666666666664	4.333333333333333	8.0	5.0	4.666666666666667	8.333333333333334	7.0	13.0	1.0	4.0	5.333333333333333	28.0	66.0	21.0	9.333333333333334	1.6666666666666667	2.6666666666666665	0.0	8.0	4.0	5.333333333333333	48.333333333333336	6.0	11.0	19.333333333333332	11.333333333333334	4.666666666666667	30.666666666666668	23.666666666666668	40.0	7.0	11.666666666666666	1.6666666666666667	67.0	8.333333333333334	5.666666666666667	12.0	5.333333333333333	2.3333333333333335	26.333333333333332	7.333333333333333	39.666666666666664	11.666666666666666	18.333333333333332	43.0	43.666666666666664	15.666666666666666	43.333333333333336	17.0	7.666666666666667	16.0	23.333333333333332	48.333333333333336	7.0	10.0	18.333333333333332	21.666666666666668	16.333333333333332	7.0	15.0	7.333333333333333
4405128	4.5	5.0	17.0	1.5	1.5	6.5	16.0	10.5	4.5	6.0	6.5	0.0	8.5	2.5	29.5	2.0	7.0	15.5	10.0	0.5	10.5	13.5	4.0	4.5	19.5	25.0	11.5	16.5	0.0	3.5	16.5	11.0	2.0	11.5	1.0	16.5	2.0	3.0	0.5	6.0	3.0	12.0	3.0	5.0	1.0	23.5	13.5	14.5	17.0	2.0	7.0	5.0	0.0	0.0	0.5	0.5	21.5	21.0	2.0	3.5	1.0	1.5	2.0	0.5	0.0	29.5	28.5	1.5	3.5	0.0	12.0	0.0	0.5	7.5	6.5	12.5	0.0	5.5	2.0	4.5	14.5	8.5	5.0	18.0	10.5	57.0	16.5	25.5	58.0	57.5	69.0	131.5	1.5	33.5	227.0	106.0	38.0	12.0	11.0	102.5	132.5	7.5	46.0	32.5	28.5	44.5	15.5	19.0	9.5	9.5	7.0	15.5	3.0	7.0	9.0
4394350	26.333333333333332	9.0	41.666666666666664	139.66666666666666	21.333333333333332	108.66666666666667	255.0	25.666666666666668	364.0	60.666666666666664	232.0	209.66666666666666	5.333333333333333	8.333333333333334	25.666666666666668	12.333333333333334	30.0	35.333333333333336	62.0	20.333333333333332	20.0	40.0	108.66666666666667	18.333333333333332	67.66666666666667	46.333333333333336	9.666666666666666	138.0	0.0	7.666666666666667	585.6666666666666	25.333333333333332	86.0	30.666666666666668	0.6666666666666666	12.666666666666666	12.333333333333334	16.333333333333332	0.3333333333333333	15.0	56.666666666666664	153.0	26.333333333333332	24.333333333333332	38.666666666666664	121.66666666666667	57.333333333333336	0.3333333333333333	47.333333333333336	28.0	8.666666666666666	150.33333333333334	59.666666666666664	39.333333333333336	81.0	16.666666666666668	36.0	55.333333333333336	24.0	27.0	136.66666666666666	64.66666666666667	76.33333333333333	203.33333333333334	18.333333333333332	4.0	186.33333333333334	16.0	24.333333333333332	81.33333333333333	32.666666666666664	0.6666666666666666	64.0	29.0	54.0	159.66666666666666	215.66666666666666	28.666666666666668	47.666666666666664	45.0	22.666666666666668	39.666666666666664	101.33333333333333	105.66666666666667	17.666666666666668	0.3333333333333333	11.666666666666666	0.0	73.33333333333333	17.333333333333332	143.33333333333334	101.0	12.0	146.66666666666666	96.33333333333333	340.0	9.666666666666666	89.0	12.0	210.0	157.0	358.6666666666667	0.0	126.66666666666667	24.0	95.66666666666667	140.0	32.0	108.33333333333333	212.0	72.66666666666667	23.0	5.0	39.333333333333336	30.0
581933	18.25	27.75	65.25	61.75	35.75	245.75	475.75	161.5	72.5	107.25	47.25	90.5	81.25	44.0	70.25	88.5	34.0	39.0	36.75	32.0	16.0	24.75	61.75	18.0	102.25	21.25	38.0	160.5	0.0	26.75	49.75	26.0	18.75	35.25	18.75	72.5	9.5	20.5	0.5	24.75	53.75	65.75	41.25	11.25	9.0	73.0	78.25	92.25	32.75	169.25	6.5	23.25	43.25	19.25	90.25	14.5	29.25	41.25	19.0	22.5	106.25	70.0	67.0	132.25	15.25	146.25	191.25	58.25	92.75	64.25	10.25	49.5	25.0	35.75	18.25	197.25	39.0	41.75	91.5	29.0	48.5	30.25	98.5	166.75	31.0	53.0	20.75	46.25	68.5	28.75	156.0	144.25	31.75	154.75	28.75	108.25	101.75	115.75	297.25	147.75	133.25	240.0	55.25	51.0	248.75	99.0	79.5	65.5	39.75	111.25	109.5	44.25	77.5	56.25	34.0
1517779	19.666666666666668	80.66666666666667	300.3333333333333	92.66666666666667	92.66666666666667	4.666666666666667	65.0	105.33333333333333	91.66666666666667	100.66666666666667	79.66666666666667	140.66666666666666	61.0	57.666666666666664	55.666666666666664	292.3333333333333	125.0	118.33333333333333	80.33333333333333	33.0	89.33333333333333	191.33333333333334	263.3333333333333	83.66666666666667	49.0	77.66666666666667	56.666666666666664	585.3333333333334	0.0	207.33333333333334	203.0	973.6666666666666	25.333333333333332	27.333333333333332	78.0	254.33333333333334	121.0	266.0	0.0	20.666666666666668	312.0	45.666666666666664	77.0	17.666666666666668	62.333333333333336	15.0	71.33333333333333	18.333333333333332	349.3333333333333	120.0	38.666666666666664	72.33333333333333	85.66666666666667	81.33333333333333	340.6666666666667	53.666666666666664	279.6666666666667	667.6666666666666	80.0	106.0	193.66666666666666	66.0	221.33333333333334	630.0	181.66666666666666	348.0	410.0	49.0	230.66666666666666	268.6666666666667	125.33333333333333	51.0	126.66666666666667	28.0	88.33333333333333	617.3333333333334	33.333333333333336	85.33333333333333	143.33333333333334	292.3333333333333	22.666666666666668	53.333333333333336	62.333333333333336	912.0	116.33333333333333	277.0	156.0	318.0	357.6666666666667	56.666666666666664	215.66666666666666	340.6666666666667	320.3333333333333	824.0	978.0	519.6666666666666	606.6666666666666	203.33333333333334	98.66666666666667	180.0	100.66666666666667	811.3333333333334	165.0	479.0	25.666666666666668	36.333333333333336	163.66666666666666	51.666666666666664	92.0	30.666666666666668	752.6666666666666	69.33333333333333	82.0	27.0	121.0
