#OTU ID	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
560336	381	351	1857	703	470	22	839	1288	1275	508	1050	1459	1099	517	346	2278	570	1786	308	632	349	1057	2244	167	164	546	328	872	0	773	825	3252	162	413	462	714	602	701	6	180	1583	287	1187	198	228	1354	1275	651	1260	799	118	2078	542	320	1445	197	478	1949	629	653	862	3027	584	2005	1827	3461	4174	179	3256	997	722	47	976	250	1100	2636	1500	503	1135	495	892	327	964	2868	491	1301	726	2127	1691	637	1534	1177	1365	7172	4233	7670	2242	490	2182	3317	2257	6399	1124	2648	682	645	907	1444	697	731	3619	578	637	1215	499
264734	248	842	1850	712	1213	3124	2012	4168	2104	1723	1767	5926	416	672	1672	1584	2147	1773	520	789	487	728	2634	157	1192	412	826	1192	6	1164	1893	2994	350	2199	255	959	795	564	12	406	1583	525	1004	608	130	876	1663	1043	1475	1087	219	354	1012	633	1707	249	919	557	391	958	1417	4553	491	5737	688	4514	11128	1071	1209	473	774	133	558	927	662	811	1179	570	2397	1646	522	866	3102	5574	884	2536	1362	2673	2349	2089	2369	3259	905	10097	3287	4074	8403	1946	3986	8071	3520	8725	2332	7487	3555	1351	4592	724	631	1816	3888	496	1769	1083	670
337511	2	0	10	15	10	38	35	35	19	19	0	24	0	11	9	33	14	24	12	7	1	12	11	6	9	4	33	0	0	20	26	18	5	14	2	28	1	6	0	0	4	13	13	14	3	18	32	20	5	24	4	14	1	3	23	2	5	8	2	4	13	28	1	3	2	27	72	18	6	10	1	0	11	12	16	31	21	13	16	8	4	14	16	13	8	53	16	15	28	0	41	37	17	52	63	44	41	22	99	26	96	60	22	32	39	25	30	10	18	14	16	2	3	10	22
339229	35	59	72	308	191	2096	137	215	44	343	232	116	158	29	163	35	26	189	38	13	155	8	86	27	30	35	128	145	0	59	279	18	27	8	150	290	128	43	0	114	232	45	62	33	13	3	360	505	7	402	4	171	14	29	51	48	33	46	131	113	13	123	0	12	6	368	0	12	97	82	5	0	61	20	34	12	36	14	172	31	1	125	235	278	155	39	20	36	24	130	19	45	120	13	153	233	251	119	19	355	102	182	223	18	6	121	103	31	17	130	63	62	30	47	63
331772	91	203	483	685	803	894	293	772	489	409	674	980	258	157	317	1299	505	405	220	188	301	476	559	157	249	251	276	146	0	475	908	1031	120	279	77	134	269	391	1	102	481	95	232	95	66	173	553	168	517	208	55	131	152	287	492	107	168	266	127	219	204	847	144	774	485	1347	2042	217	280	335	110	0	166	61	165	819	356	149	371	291	138	263	846	1678	160	732	834	1693	1421	562	1309	909	328	4478	2284	1123	2345	606	1428	1798	712	5211	531	934	999	436	819	318	212	470	798	229	304	240	316
4440360	215	149	0	71	0	2832	1380	2367	664	1643	2	4112	0	117	333	1382	1826	1040	1163	1	459	1796	3832	1200	103	9	768	332	1	1829	4	263	128	289	220	281	358	756	2	21	2	22	1	590	331	0	699	1	850	288	227	155	427	252	0	569	0	19	175	692	4	877	421	1026	136	16	736	332	1015	1005	0	2	894	6	802	1630	325	815	66	1	431	0	14	1350	1641	2969	745	8	3	2	890	1	0	9	484	3	3342	2243	1544	3325	7	4384	0	7937	1	1436	4	2	3	1004	7	0	8	366	241
276674	32	12	264	266	82	246	703	50	74	48	0	142	0	134	124	23	40	10	85	49	169	18	337	28	13	33	72	82	0	22	0	87	5	66	33	67	4	21	0	69	247	9	105	1	21	380	43	25	99	6	30	61	17	84	9	10	36	123	1	86	1	40	0	4	0	3	4	2	130	45	40	0	15	1	51	41	37	56	30	57	164	167	0	114	113	431	57	5	163	22	76	291	132	89	90	484	27	117	190	14	140	6	0	27	112	227	76	105	138	6	94	22	225	54	20
264240	439	264	871	397	313	116	1498	2191	422	2609	1441	659	1287	433	1742	564	369	3074	1352	927	2925	1862	2790	1513	2662	887	1409	2007	11	1235	1097	116	577	762	521	2275	258	464	2	605	392	726	422	845	94	2865	588	3896	944	2234	276	334	230	109	607	151	910	622	250	730	118	227	592	524	12	3638	1583	1641	487	716	636	82	266	1399	893	6788	317	701	1042	96	1608	1295	2847	2687	873	6352	1236	1670	4397	1601	6689	7865	544	4099	3057	4799	3855	582	12496	1621	3173	950	1075	3037	2506	1307	388	438	264	1324	196	520	602	413	1562
348336	23	5	54	44	24	266	98	60	47	104	65	49	65	21	68	44	19	19	16	6	37	16	46	12	18	11	6	31	0	18	186	15	22	4	15	41	33	12	0	14	33	41	44	4	7	18	107	99	15	59	2	8	18	10	98	13	24	15	14	25	21	39	3	12	16	84	198	63	28	5	8	0	24	12	16	145	18	33	58	34	14	92	71	120	21	35	5	201	25	17	36	16	7	79	22	119	35	55	129	131	47	130	51	23	48	70	145	21	30	55	65	49	21	45	22
4405128	9	10	34	3	3	13	32	21	9	12	13	0	17	5	59	4	14	31	20	1	21	27	8	9	39	50	23	33	0	7	33	22	4	23	2	33	4	6	1	12	6	24	6	10	2	47	27	29	34	4	14	10	0	0	1	1	43	42	4	7	2	3	4	1	0	59	57	3	7	0	24	0	1	15	13	25	0	11	4	9	29	17	10	36	21	114	33	51	116	115	138	263	3	67	454	212	76	24	22	205	265	15	92	65	57	89	31	38	19	19	14	31	6	14	18
4394350	79	27	125	419	64	326	765	77	1092	182	696	629	16	25	77	37	90	106	186	61	60	120	326	55	203	139	29	414	0	23	1757	76	258	92	2	38	37	49	1	45	170	459	79	73	116	365	172	1	142	84	26	451	179	118	243	50	108	166	72	81	410	194	229	610	55	12	559	48	73	244	98	2	192	87	162	479	647	86	143	135	68	119	304	317	53	1	35	0	220	52	430	303	36	440	289	1020	29	267	36	630	471	1076	0	380	72	287	420	96	325	636	218	69	15	118	90
581933	73	111	261	247	143	983	1903	646	290	429	189	362	325	176	281	354	136	156	147	128	64	99	247	72	409	85	152	642	0	107	199	104	75	141	75	290	38	82	2	99	215	263	165	45	36	292	313	369	131	677	26	93	173	77	361	58	117	165	76	90	425	280	268	529	61	585	765	233	371	257	41	198	100	143	73	789	156	167	366	116	194	121	394	667	124	212	83	185	274	115	624	577	127	619	115	433	407	463	1189	591	533	960	221	204	995	396	318	262	159	445	438	177	310	225	136
