#OTU ID	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
Zotu11	293	292	1361	551	363	18	661	1050	1022	407	815	1128	839	371	290	1911	451	1402	234	479	269	810	1757	119	125	477	249	689	0	649	651	2448	118	306	381	567	497	519	2	140	1218	239	912	165	179	1068	997	520	919	651	85	1620	440	243	1119	156	379	1745	488	506	646	2380	479	1606	1451	2765	3346	134	2494	785	705	29	842	212	928	2102	1150	372	910	374	733	257	800	2227	411	1051	582	1861	1328	496	1254	974	1054	5594	3343	6280	1657	399	1647	2477	1768	5250	863	2042	512	427	702	1090	545	583	2745	415	398	967	356
Zotu2	248	853	1863	718	1232	3149	2017	4192	2115	1733	1792	5952	419	676	1681	1588	2161	1783	529	792	488	730	2777	158	1200	415	834	1201	6	1169	1908	3012	350	2211	256	962	797	569	12	409	1600	533	1012	613	130	877	1675	1055	1481	1092	221	356	1022	635	1720	251	924	559	392	968	1423	4566	493	5780	693	4531	11187	1074	1214	475	776	133	559	933	667	813	1190	576	2417	1651	525	873	3129	5601	886	2547	1374	2695	2383	2109	2384	3279	909	10169	3309	4116	8478	1958	4015	8146	3541	8799	2352	7540	3579	1368	4627	728	642	1827	3915	498	1782	1087	672
Zotu370	2	0	10	16	10	38	35	36	19	19	0	24	0	11	9	34	15	24	12	7	1	14	12	6	9	4	33	0	0	20	28	18	5	14	2	28	1	6	0	0	4	13	14	15	3	18	32	20	5	24	4	14	1	3	27	3	5	9	2	4	13	28	1	3	2	27	73	18	6	10	1	0	11	12	17	31	21	13	16	8	5	14	16	14	8	53	16	15	28	0	41	37	17	52	63	44	42	22	105	27	101	61	22	34	41	30	30	10	20	14	16	2	3	10	22
Zotu25	91	207	489	691	815	898	294	783	492	409	686	986	260	157	318	1310	511	405	220	188	301	479	587	161	250	252	278	148	0	477	921	1046	121	280	77	134	269	391	1	103	482	95	232	95	67	175	556	170	526	214	55	131	153	293	503	107	168	268	127	219	210	858	145	777	490	1374	2052	221	281	336	114	0	166	62	167	825	359	150	371	293	138	264	851	1704	160	736	840	1714	1446	568	1318	914	328	4513	2306	1137	2379	608	1444	1820	717	5273	536	945	1017	445	832	319	213	478	815	229	306	244	318
Zotu138	32	12	269	266	82	247	707	50	78	48	0	144	0	134	124	23	40	10	85	49	169	18	350	28	13	33	72	83	0	22	0	89	5	66	33	67	7	21	0	69	250	9	106	1	21	381	43	25	100	6	30	61	17	84	9	10	39	124	1	86	1	40	0	4	0	3	4	2	132	45	40	0	15	1	51	43	39	56	30	57	164	167	0	115	113	432	57	5	164	22	76	293	133	89	90	486	27	118	193	14	140	6	0	27	112	228	78	105	142	6	94	22	225	55	20
Zotu101	46	69	77	333	213	2386	161	245	50	383	267	126	171	31	179	40	30	215	41	13	183	8	112	29	40	40	137	173	2	60	321	22	28	9	167	321	139	44	0	122	267	56	67	37	13	3	402	552	7	462	7	190	15	32	58	53	34	56	141	129	13	134	0	13	8	410	0	17	111	87	5	0	72	20	36	12	38	16	213	38	1	136	251	312	184	43	26	45	31	151	20	51	138	16	175	253	290	126	26	388	106	216	249	25	0	141	113	33	17	139	74	72	34	54	66
Zotu5	440	218	900	321	293	124	1271	1606	393	1976	1367	323	1002	378	1006	541	340	3219	1408	648	2446	1450	2117	1581	2788	871	1462	2010	10	908	1135	97	519	755	489	1175	246	476	4	449	281	503	338	584	68	2977	513	3168	980	1692	256	331	142	74	624	148	860	643	253	752	87	234	510	544	12	3227	1631	902	420	258	521	80	258	1265	604	6646	302	592	721	90	1331	1090	2966	2658	759	4399	1113	1687	4141	1587	6069	7409	480	1550	1587	4784	3377	597	11978	1463	2950	984	483	2986	2473	1279	263	306	257	1371	199	539	604	333	1388
Zotu261	23	5	38	44	25	236	84	48	33	94	64	46	53	4	67	35	16	18	15	6	36	9	47	12	17	8	6	32	0	10	158	7	20	4	12	38	34	11	0	14	29	43	43	4	7	21	90	95	15	57	3	6	21	8	79	11	19	1	14	26	15	34	3	5	11	93	190	61	16	3	8	0	20	3	12	118	16	15	53	26	14	92	66	81	18	32	5	75	11	16	28	13	7	86	19	80	28	45	98	127	27	123	38	19	45	63	140	22	14	54	20	36	20	29	14
Zotu28	213	68	332	1027	150	690	1672	190	2676	449	1699	1634	38	50	183	100	226	278	467	199	154	293	743	156	530	361	96	1040	0	55	4684	224	619	243	8	79	87	128	3	107	397	1219	214	230	257	973	487	6	353	190	85	1234	514	305	761	138	252	512	199	242	932	419	532	1515	170	10	1260	124	178	684	264	3	483	265	344	1160	1655	223	367	330	178	347	835	786	159	12	84	2	501	154	1041	747	79	949	659	2537	60	690	78	1456	1169	2527	1	798	218	698	1080	266	920	1546	516	168	36	293	189
Zotu144	22	32	73	5	5	36	62	62	21	18	37	0	30	6	94	18	21	77	49	1	35	80	25	24	104	141	54	78	1	27	87	47	10	47	5	61	13	20	2	28	10	62	24	29	5	126	48	38	65	7	28	20	7	0	1	3	112	91	7	20	8	8	17	13	0	138	142	3	25	0	44	0	1	39	26	89	6	25	5	25	49	30	22	82	39	242	80	105	273	221	335	520	9	134	985	476	142	80	57	454	599	23	161	118	124	203	63	69	47	49	20	93	8	25	40
Zotu24	64	250	933	284	288	15	199	326	282	316	247	431	187	183	176	909	386	376	249	112	279	594	926	258	153	243	172	1826	0	640	633	3091	79	86	238	784	371	841	0	66	958	143	235	54	195	47	220	57	1083	371	126	225	262	248	1085	162	865	2085	244	324	600	205	670	1940	564	1072	1272	152	710	842	384	154	389	86	268	1920	104	273	454	906	73	166	190	2854	363	855	483	977	1110	178	666	1065	994	2544	3013	1616	1874	622	305	565	308	2500	499	1489	79	109	508	159	285	96	2358	214	252	83	370
