OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu7	30.79520697	5	1.03E-05	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcus_1,s:uncultured_bacterium	1.13E-05	0.009540371	0.012234358
Zotu64	29.09236489	5	2.22E-05	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	2.45E-05	0.009540371	0.026465488
Zotu31	28.91902018	5	2.41E-05	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	2.65E-05	0.009540371	0.028621114
Zotu29	24.36508087	5	0.0001847	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	2.03E-04	0.054948323	0.219793292
Zotu67	22.77817584	5	0.000372168	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	4.09E-04	0.088576043	0.442880216
Zotu20	22.15152748	5	0.000489983	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium	5.39E-04	0.095888234	0.583079612
Zotu842	21.8299034	5	0.000564048	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	6.20E-04	0.095888234	0.671217636
Zotu475	20.82558608	5	0.000873876	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium	9.61E-04	0.117357598	1
Zotu679	20.59048563	5	0.000967791	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	1.06E-03	0.117357598	1
Zotu4	20.54705215	5	0.000986198	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	1.08E-03	0.117357598	1
Zotu1171	20.1560166	5	0.001168216	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	1.29E-03	0.126379746	1
Zotu195	19.07791473	5	0.001858949	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	2.04E-03	0.184345751	1
Zotu561	18.62626426	5	0.002255764	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	2.48E-03	0.206489135	1
Zotu674	17.9457047	5	0.003015227	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	3.32E-03	0.2562943	1
Zotu787	17.58559791	5	0.003513221	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Christensenellaceae,g:Christensenellaceae_R_7_group,s:uncultured_bacterium	3.86E-03	0.278715497	1
Zotu627	17.00381842	5	0.004492561	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	4.94E-03	0.334134219	1
Zotu120	16.64600223	5	0.005222478	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	5.74E-03	0.34573099	1
Zotu643	16.54780312	5	0.005442261	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014	5.99E-03	0.34573099	1
Zotu623	16.5139613	5	0.005520075	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	6.07E-03	0.34573099	1
Zotu314	16.28181283	5	0.006083891	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiraceae_NK4A136_group	6.69E-03	0.361991527	1
Zotu790	15.98828739	5	0.006877594	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium	7.57E-03	0.389730306	1
Zotu70	15.74878044	5	0.007599147	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	8.36E-03	0.390315351	1
Zotu186	15.69414701	5	0.007773778	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	8.55E-03	0.390315351	1
Zotu844	15.54342697	5	0.008276027	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Christensenellaceae,g:Christensenellaceae_R_7_group,s:uncultured_bacterium	9.10E-03	0.390315351	1
Zotu451	15.53424848	5	0.008307611	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Butyricicoccus,s:uncultured_bacterium	9.14E-03	0.390315351	1
