OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu1	9.67336156483162	5	0.0850374571059175	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Rikenellaceae,g:Alistipes	0.377908997810253	0.377908997810253	1
Zotu10	12.7811252268602	5	0.0255185128716846	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides	0.251639358919784	0.251639358919784	1
Zotu100	6.01397296021165	5	0.304861662479281	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Roseburia,s:uncultured_bacterium	0.639243380304267	0.639243380304267	1
Zotu1000	NA	5	NA	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	NA	NA	NA
Zotu1001	5.20765289256199	5	0.391067316382701	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:uncultured,s:uncultured_bacterium	0.700595107702593	0.700595107702593	1
Zotu1002	6.5902788999611	5	0.252937663964906	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.584949044237288	0.584949044237288	1
Zotu1003	15.3591632525234	5	0.00893302748074897	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	0.217468403016493	0.217468403016493	1
Zotu1004	14.6127272727274	5	0.0121518311216198	Kruskal-Wallis rank sum test	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter	0.217468403016493	0.217468403016493	1
Zotu1005	7.9219141343618	5	0.160591923770213	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.498085888568551	0.498085888568551	1
Zotu1006	6.87790521532143	5	0.229880174909496	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014,s:uncultured_bacterium	0.563348329870802	0.563348329870802	1
Zotu1007	3.49824953713708	5	0.62365251164793	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.76181552961301	0.76181552961301	1
Zotu1008	2.00310775457819	5	0.848714851843773	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39,f:uncultured_bacterium,g:uncultured_bacterium,s:uncultured_bacterium	0.899180353411346	0.899180353411346	1
Zotu1009	14.8481802771961	5	0.0110311245056606	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014,s:uncultured_bacterium	0.217468403016493	0.217468403016493	1
Zotu101	5.72562473665444	5	0.333838744949654	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:A2,s:uncultured_bacterium	0.662669908725063	0.662669908725063	1
Zotu1010	7.31521313302675	5	0.198233019866173	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014	0.534152775250254	0.534152775250254	1
Zotu1011	5.88062367695256	5	0.318008635420767	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.646328131034357	0.646328131034357	1
Zotu1012	12.0496697560456	5	0.0341134922015186	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.266882894504578	0.266882894504578	1
Zotu1013	3.76785714285703	5	0.583298981177935	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.74295147590977	0.74295147590977	1
Zotu1014	9.15196935138284	5	0.103153992586378	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.412269816007974	0.412269816007974	1
Zotu1015	6.12500000000002	5	0.294245234200679	Kruskal-Wallis rank sum test	k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Corynebacteriaceae	0.628039559019729	0.628039559019729	1
Zotu1016	3.75127255083593	5	0.585752674961607	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Christensenellaceae,g:Christensenellaceae_R_7_group	0.74295147590977	0.74295147590977	1
Zotu1017	2.85178730215184	5	0.722823027756922	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.819107731739766	0.819107731739766	1
Zotu1018	5.98933907659178	5	0.307257655402321	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39	0.642006785235376	0.642006785235376	1
Zotu1019	4.72068251774401	5	0.450910126843319	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium	0.700595107702593	0.700595107702593	1
Zotu102	8.02855796158244	5	0.154668749402468	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.489921490793456	0.489921490793456	1
