SampleID	Mass_g	Date_Extracted	DNA_volume_ul	Raw_qubit_values_ng.ml	DNA_concentration_ng.ul	Mouse_number	Sex	Diet_group	Date	Weight_g	Fecal_MK4	Fecal_PK	Fecal_MK5	Fecal_MK6	Fecal_MK7	Fecal_MK8	Fecal_MK9	Fecal_MK10	Fecal_MK11	Fecal_MK12	Fecal_MK13	Liver_MK4	Liver_PK	Liver_MK9	Liver_MK10	Kidney_MK4	Kidney_PK	Brain_MK4	Heart_MK4	Heart_PK	Duo_MK4	Duo_PK	Duo_MK9
M102	0.046	12/22/2018	50	696	6.96	83	M	Combo	11/29/2017	38.18	2078.1	843.3	7.2	520.3	30.8	336	1690	1719.3	912.5	123.6	425.8	8.2	11.7	11.8	5.3	50.9	1.8	55.6	98.4	ND	18.6	2.9	ND
M114	0.084	12/22/2018	50	707.5	7.075	85	M	Combo	11/30/2017	31.78	1319.7	557.8	ND	802.9	20.7	147.2	651	869.9	503.5	62.8	82	9.1	8.9	5.2	9.7	38	1.3	51.14	57	4.4	13	4.3	ND
M116	0.091	12/22/2018	50	567	5.67	86	M	Combo	12/5/2017	38.24	3284.5	831	5.9	493	24.8	313.8	1552.3	1987.7	852.7	85.3	110.2	6.6	9.4	13.1	19.5	50.3	1.6	57.84	70.5	ND	10.3	ND	ND
M117	0.099	12/22/2018	50	747	7.47	88	M	Combo	12/6/2017	35.46	2706.7	703.9	ND	694	136.1	191.4	900.8	1210	599	86.2	243	8.3	7.3	11.2	21	38.2	1.2	63.32	67.8	5.2	6.9	4.5	ND
M44	0.092	12/22/2018	50	530.5	5.305	87	M	Combo	12/5/2017	35.12	3085.1	712.4	ND	635.4	25.3	155.9	860.9	813.3	430.7	45.2	62	9.1	8.6	13.5	23	46.8	0	66.8	77.4	ND	14.5	4	ND
M58	0.066	12/22/2018	50	711.5	7.115	89	M	Combo	12/7/2017	32.87	2662.7	786.9	7.8	380.9	23.7	215.1	1201.4	1729.8	861	122.1	354.5	11.5	8.8	7.3	7.7	64.5	1.6	92.56	112.4	ND	12.5	ND	ND
M59	0.077	12/22/2018	50	568	5.68	90	M	Combo	12/7/2017	30.22	2923	820.7	7.1	391.5	49.6	227.9	946.7	1811.3	780.6	123.8	451.4	13	11.7	1.5	5.9	39.2	0	96.68	96.4	ND	21.6	5.1	ND
M80	0.031	12/22/2018	50	515	5.15	84	M	Combo	11/30/2017	33.51	1346.2	672.4	12.8	1521.9	24.5	267.5	1275.8	1719.5	701.5	133.3	475	8.4	11.7	4.2	7.4	45.8	2	80.1	70.5	5	15.3	4.7	ND
M86	0.029	12/22/2018	50	584	5.84	81	M	Combo		36.32	1650.7	636	ND	228.8	21.4	116.2	676.1	999.2	523.2	67.7	53.9	12.9	7.8	8.7	2.9	36.5	1.8	59.1	139.1	4	9.3	ND	ND
M89	0.07	12/22/2018	50	530	5.3	82	M	Combo		30.21	884.8	456.8	6.6	664.2	8.3	85.3	696.1	886.4	497.3	73.3	140.9	10.3	13.1	1.3	1.2	41	2	62	94.9	2.8	13.2	4.8	ND
M108	0.151	12/22/2018	50	746	7.46	47	M	MK4	12/5/2017	36.18	2237.4	ND	ND	886.3	66.5	217.2	318	940.2	545.1	59	236.5	8.3	4.2	5.2	14.3	62.3	0.9	69.6	78	ND	32.9	ND	ND
M110	0.194	12/22/2018	50	619.5	6.195	46	M	MK4	12/5/2017	31.7	1649.2	ND	ND	1235.3	390.3	73.8	62.2	282.8	159.9	29.7	96	17.1	4.1	2	6.1	54.6	1	65.87	66.4	ND	33.5	ND	ND
M111	0.158	12/22/2018	50	546.5	5.465	44	M	MK4	11/30/2017	39.9	1925.3	ND	ND	432.2	10.6	146.7	208.5	821.1	470.4	68.6	241.6	11.5	4.2	3.1	11.2	57.3	1	97.5	123.9	ND	12	ND	ND
M16	0.159	12/21/2018	50	653	6.53	49	M	MK4	12/7/2017	30.85	2680	ND	7.6	351.9	112.4	343.1	431.9	1835.3	982.2	153.2	531.7	15.1	5.6	8.5	20.3	44.6	0	74.12	86.4	ND	13.9	ND	ND
M24	0.086	12/22/2018	50	671	6.71	48	M	MK4	12/6/2017	34.32	2164.4	ND	5.1	548.6	29.2	282.9	373.8	1326.7	743.4	101.6	339.8	13.2	4.3	14.9	13	38.5	0	74.48	76.04	ND	22.2	ND	ND
M34	0.132	12/22/2018	50	610.5	6.105	50	M	MK4	12/7/2017	32.9	2528	ND	5.5	671.7	24.1	180	329.8	982.7	534.5	57.8	118	14.2	4.8	11.5	14.2	49.8	0	80.75	133.7	ND	16.3	ND	ND
M61	0.104	12/22/2018	50	589.5	5.895	41	M	MK4		37.94	2085.7	ND	ND	411.6	40.5	333	421.2	1892.4	928.3	129.7	494.8	17.9	5.1	0	2.3	46.3	1	51.5	125.3	ND	41.5	ND	ND
M63	0.101	12/22/2018	50	496	4.96	42	M	MK4		31.94	1623	ND	ND	245.8	24	208.1	97.9	1006.6	514.4	91.5	45.9	27.1	5.4	0	4.2	51.6	0.8	61.5	128.3	ND	41	ND	ND
M64	0.23	12/22/2018	50	739	7.39	45	M	MK4	11/30/2017	38.2	2080.4	ND	15.7	1004.1	38.9	404.2	628.9	1937.3	1291.2	243	919.7	14.7	5.2	6.5	11.5	46.2	0.8	46.53	119.5	ND	19.5	ND	ND
M67	0.135	12/22/2018	50	583	5.83	43	M	MK4	11/29/2017	31.13	1826.8	ND	13.4	981.5	40.7	274.5	429	1865.1	1022.4	141.9	472.2	18.2	4.8	0	1.6	57.4	0.9	55.2	48	ND	40.1	ND	ND
M100	0.162	12/22/2018	50	595	5.95	66	M	MK9	12/5/2017	31.75	2088.1	ND	ND	471.4	45.8	276.4	3093.7	1074.9	529.9	57.5	92.7	6.4	3.7	11.5	22.5	46.9	1.2	69	62.6	ND	11.7	ND	ND
M107	0.108	12/22/2018	50	655.5	6.555	69	M	MK9	12/7/2017	33.1	2527.1	ND	13.1	1150.3	18.4	220.4	3892.1	1282.9	632.3	97.5	312.6	8.1	4.9	20.5	14.6	57.3	0	72.83	117.5	ND	7.9	ND	ND
M14	0.098	12/21/2018	50	652	6.52	68	M	MK9	12/6/2017	30.49	2608.2	ND	7.5	1178.9	39.8	260.3	3682.4	1705.4	844.5	108	60.5	5.5	4.3	20.8	59.9	38.7	0	73.42	60.3	ND	7.8	ND	5.3
M32	0.062	12/22/2018	50	649.5	6.495	67	M	MK9	12/5/2017	35.89	1324.2	ND	ND	154.3	10.7	67.9	1557.4	413.7	287.2	47.8	118.4	6.3	4.1	15	5.4	52.4	1.2	68.68	63.5	ND	5.2	ND	5.1
M38	0.132	12/22/2018	50	546.5	5.465	64	M	MK9	11/30/2017	32.15	1157	ND	ND	419.4	16.2	143.9	2092.5	663.1	430.6	71.4	324.3	6.9	4.4	14.8	7.4	51.6	0.8	66.2	95.4	ND	11.7	ND	ND
M5	0.096	12/21/2018	50	527	5.27	65	M	MK9	11/30/2017	39.39	1830.2	ND	9.5	966.7	40.1	392.2	4760.7	1662	834.4	68.7	33	8.3	4.6	44.3	11.4	40.1	0.7	46.14	79.5	ND	12.9	ND	14.3
M74	0.065	12/22/2018	50	609	6.09	70	M	MK9	12/7/2017	34.22	2526.4	ND	9	615.6	84.2	331.7	4272.3	1889.6	967.5	123.1	395.9	7	5.3	11.7	7.6	63	0	88.12	85.5	ND	10.1	ND	ND
M75	0.029	12/22/2018	50	748	7.48	61	M	MK9		37.5	2589.2	ND	12	780.9	33.7	493.9	5713.7	4141.8	1769.1	214.3	534.2	8.5	4.7	13.4	2.7	43.5	0.8	54.3	ND	ND	8.9	ND	28.1
M9	0.142	12/21/2018	50	525.5	5.255	63	M	MK9	11/29/2017	36.36	1085.5	ND	5.1	835.6	22.4	189.8	2705.5	1123.5	567.1	92.7	307.6	8	5.2	10.3	2.3	0	0.8	54	78.9	ND	24.2	ND	ND
M15	0.215	12/21/2018	50	686.5	6.865	27	M	PK	12/5/2017	31.01	2180.2	2573.5	ND	412.8	160.6	223.4	251.1	1071.4	591.7	60	108.8	8.7	42.6	9.8	16.2	58.3	5.8	86.75	56.3	21.1	11.7	27.4	ND
M22	0.101	12/21/2018	50	515.5	5.155	26	M	PK	12/5/2017	27.72	1491.3	1780	ND	193.3	20.9	56.8	65.8	423.2	250.4	39.1	80.8	12.1	32.1	1.3	6.4	55.9	4.5	92.33	96.2	15.4	15.5	18.5	ND
M27	0.152	12/22/2018	50	579	5.79	24	M	PK	11/30/2017	30.81	1636.6	2746	9.6	698.3	27.7	287.5	360.3	2088.4	1004.1	105.6	68	11.6	33	0	6.7	50.8	4.6	97.1	114.9	18	19.3	30.3	ND
M36	0.134	12/22/2018	50	658.5	6.585	25	M	PK	11/30/2017	35.63	1723.1	2572.1	6.9	602.6	31	251.3	427.8	1480.4	942.7	97.5	272.2	7.6	16.3	4.3	11.2	47.5	3.7	50.65	84.9	12.1	13.1	17.4	ND
M41	0.116	12/22/2018	50	640	6.4	28	M	PK	12/6/2017	35.45	1812.5	2041.4	5.2	443	27	189.3	277	944.4	807	155.5	333.6	6.8	27.4	21.5	26.4	41.6	5.1	100.11	69.9	23.4	8.7	13	ND
M46	0.165	12/22/2018	50	708	7.08	29	M	PK	12/7/2017	33.74	1668.5	2295.9	10.7	1438.1	41.5	304.8	471.8	1421.2	832.4	103.9	350.3	15.5	33.1	7	13.1	55	2.5	76.18	90.4	14.8	17.6	18	ND
M60	0.123	12/22/2018	50	656	6.56	21	M	PK		32.6	2114.6	2131.6	7.1	797.7	58.1	518.4	385.2	2597.6	1249.5	125.3	197.5	13.7	54.7	3.6	4.3	49.2	4.9	55.6	92.2	14	11.8	22.9	ND
M7	0.085	12/21/2018	50	633.5	6.335	30	M	PK	12/7/2017	38.33	2684.8	2198.7	5.1	793.8	67.8	253.3	398.5	1107.9	757.2	62.6	129.5	10.1	28.2	13.6	10.4	37.4	1.6	89.39	85.43	12.2	10.5	18.6	ND
M94	0.11	12/22/2018	50	596	5.96	22	M	PK		37.63	864.4	1383.2	ND	535.5	14.6	181.1	251.2	1043.7	516.7	58.8	180.2	7.4	20.7	0	4.3	35.4	3.4	69.3	130.9	11.4	10.8	21.7	ND
M99	0.094	12/22/2018	50	568.5	5.685	23	M	PK	11/29/2017	30.72	897.3	1474.5	ND	430.5	141.6	220.5	291.8	829.6	433.4	42.3	64.4	9.2	27.8	0.8	1.8	56.4	5.2	55.6	56.4	ND	8.4	35.1	ND
M42	0.113	12/22/2018	50	685	6.85	103	M	Pork	11/29/2017	31.96	697.6	ND	ND	429.7	109.3	89.6	133.5	393.2	214	34.3	144.8	2.8	4	1.7	15.1	0	0.9	5.4	79.6	ND	1.2	ND	ND
M43	0.122	12/21/2018	50	561	5.61	105	M	Pork	11/30/2017	38.52	1817.7	ND	ND	526.2	29.9	161.7	217.4	1219.4	609.9	62.7	188.6	3.1	4.4	3.6	19.3	0	0.8	11.13	57.5	ND	0.9	ND	ND
M45	0.045	12/22/2018	50	554	5.54	106	M	Pork	12/5/2017	35.78	2901.3	ND	ND	171.2	9	144.1	218.8	950.4	447.5	42.5	48.4	3.3	4.2	13.4	64.7	46.1	0.8	14.91	75.4	ND	ND	ND	ND
M51	0.068	12/22/2018	50	672.5	6.725	109	M	Pork	12/7/2017	31.05	2118	ND	ND	313.5	14.9	224.4	383.6	1352.5	824.1	99.8	426.7	5.6	5.3	2.5	25.1	26	0	15.09	107.6	ND	ND	ND	ND
M53	0.113	12/22/2018	50	562.5	5.625	110	M	Pork	12/7/2017	32.14	1164.3	ND	ND	426.7	6.1	105.8	179.4	423.6	306.8	46.1	272.1	2.8	4.4	3.9	31.6	29	0	14.4	82.9	ND	ND	ND	ND
M68	0.101	12/21/2018	50	594	5.94	104	M	Pork	11/30/2017	37.53	1412.9	ND	ND	411.2	14.4	278.1	485.3	1656.4	689.7	112.1	385.7	2.8	4.1	3.8	24.1	0	0.9	6.4	56.8	ND	1.1	ND	ND
M81	0.108	12/22/2018	50	629.5	6.295	108	M	Pork	12/6/2017	38.04	3200.4	ND	ND	219.2	5.8	159.7	212.2	1255.3	563.2	76.4	246.1	3.2	4.3	3.1	21.6	33.9	0	15.34	77.1	ND	ND	ND	ND
M82	0.096	12/22/2018	50	557.5	5.575	107	M	Pork	12/5/2017	34.36	2786.5	ND	ND	63.7	6	172.3	222	893.8	445.7	72.1	318	2.8	4.3	69.4	85.8	36.3	0.8	5.6	55.1	ND	ND	ND	ND
M92	0.027	12/22/2018	50	743	7.43	102	M	Pork		33.72	1376.1	ND	ND	199.2	16.6	181.8	303.2	1151.8	662.7	96.2	294.5	3.6	4.3	0	7.9	24.2	0.8	7.8	45.8	ND	0.9	ND	ND
