Sex	Diet_group	KO	mean	sd	n	se
F	Combo	K01661	6416.56666666667	1767.4898879838	9	196.387765331534
F	Combo	K01851	0	0	9	0
F	Combo	K01911	4335.34444444444	1255.18753106967	9	139.465281229964
F	Combo	K02361	6182.80666666667	1763.08396303182	9	195.898218114647
F	Combo	K02548	14148.2333333333	4314.44006582836	9	479.382229536484
F	Combo	K02549	206.677777777778	172.14223172843	9	19.1269146364922
F	Combo	K02551	6409.78888888889	1756.21243774383	9	195.13471530487
F	Combo	K02552	200.344444444444	174.123508687879	9	19.3470565208754
F	Combo	K03183	15505.7555555556	4166.65371322153	9	462.961523691281
F	Combo	K08680	200.344444444444	174.123508687879	9	19.3470565208754
F	Combo	K19222	49.3622222222222	32.9511497438928	9	3.66123886043253
F	MK4	K01661	13017.714	14324.4791272649	10	1432.44791272649
F	MK4	K01851	0	0	10	0
F	MK4	K01911	10763.414	12138.7429754258	10	1213.87429754258
F	MK4	K02361	12567.098	13952.5500962622	10	1395.25500962622
F	MK4	K02548	26638.964	26238.570513722	10	2623.8570513722
F	MK4	K02549	285.014	330.923703533005	10	33.0923703533005
F	MK4	K02551	12838.514	14240.9127261837	10	1424.09127261837
F	MK4	K02552	282.264	328.664954870458	10	32.8664954870458
F	MK4	K03183	26012.284	24601.2771793852	10	2460.12771793852
F	MK4	K08680	282.264	328.664954870458	10	32.8664954870458
F	MK4	K19222	142.648	179.184103139139	10	17.9184103139139
F	MK9	K01661	5405.72222222222	2817.54711255987	9	313.06079028443
F	MK9	K01851	0	0	9	0
F	MK9	K01911	4042.27777777778	2095.68408735535	9	232.853787483928
F	MK9	K02361	5095.54222222222	2735.83424882054	9	303.981583202282
F	MK9	K02548	12972.7777777778	5249.47071512876	9	583.274523903195
F	MK9	K02549	334.388888888889	526.215005996704	9	58.4683339996338
F	MK9	K02551	5291.33333333333	2879.66312496792	9	319.96256944088
F	MK9	K02552	275.333333333333	373.513477233419	9	41.5014974703799
F	MK9	K03183	12301.1888888889	5993.05275988674	9	665.894751098527
F	MK9	K08680	275.333333333333	373.513477233419	9	41.5014974703799
F	MK9	K19222	79.2088888888889	83.3105331642471	9	9.25672590713856
F	PK	K01661	6554.82444444444	6435.87668607027	9	715.097409563363
F	PK	K01851	0	0	9	0
F	PK	K01911	5053.88	5487.81951523326	9	609.757723914807
F	PK	K02361	5664.43111111111	5149.64496082362	9	572.182773424847
F	PK	K02548	16904.4355555556	19327.8847716079	9	2147.54275240088
F	PK	K02549	416.102222222222	522.243070173693	9	58.027007797077
F	PK	K02551	6057.43555555556	5543.68417476616	9	615.964908307351
F	PK	K02552	408.046666666667	522.542774469229	9	58.0603082743588
F	PK	K03183	19501.5688888889	23239.2669678394	9	2582.14077420438
F	PK	K08680	408.046666666667	522.542774469229	9	58.0603082743588
F	PK	K19222	87.7644444444444	85.8696276501638	9	9.54106973890709
F	Pork	K01661	6775.42	4727.45028644171	10	472.745028644171
F	Pork	K01851	0	0	10	0
F	Pork	K01911	5160.27	3509.09592665183	10	350.909592665183
F	Pork	K02361	6357.917	4582.83215163106	10	458.283215163106
F	Pork	K02548	15394.77	12113.2118384202	10	1211.32118384202
F	Pork	K02549	217.22	217.818161165072	10	21.7818161165072
F	Pork	K02551	6556.17	4574.68872762581	10	457.468872762581
F	Pork	K02552	216.87	217.298864086615	10	21.7298864086615
F	Pork	K03183	17824.47	14417.4758110349	10	1441.74758110349
F	Pork	K08680	216.87	217.298864086615	10	21.7298864086615
F	Pork	K19222	66.467	72.3613257740471	10	7.23613257740471
F	VKdef	K01661	12456.3766666667	12445.602495929	9	1382.84472176989
F	VKdef	K01851	0	0	9	0
F	VKdef	K01911	10048.71	11249.7823809141	9	1249.97582010157
F	VKdef	K02361	12169.2833333333	12180.1510184675	9	1353.35011316306
F	VKdef	K02548	20585.6544444444	18752.7704729049	9	2083.6411636561
F	VKdef	K02549	142.654444444444	141.439218669285	9	15.7154687410316
F	VKdef	K02551	12307.7655555556	12247.0825697165	9	1360.78695219072
