normalized	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
Zotu1	299.0	463.0	2062.0	1737.0	1024.0	161.0	1619.0	1702.0	1355.0	1746.0	2305.0	1234.0	1982.0	1106.0	1862.0	2040.0	1004.0	3737.0	1656.0	1132.0	1415.0	2288.0	6149.0	726.0	2583.0	1781.0	1419.0	4263.0	6.0	1782.0	1410.0	2844.0	461.0	1320.0	696.0	2872.0	859.0	1108.0	7.0	713.0	1178.0	1375.0	1278.0	829.0	350.0	2849.0	1748.0	2374.0	1944.0	2966.0	500.0	1148.0	777.0	492.0	1904.0	318.0	1549.0	2013.0	739.0	1222.0	1317.0	1294.0	721.0	1139.0	284.0	6350.0	5768.0	881.0	1910.0	1130.0	882.0	1026.0	1081.0	995.0	889.0	5745.0	552.0	1298.0	1665.0	795.0	2083.0	1574.0	2181.0	7560.0	2017.0	5537.0	1400.0	1779.0	5433.0	1671.0	5130.0	8128.0	1843.0	7197.0	3638.0	4399.0	6341.0	996.0	5484.0	2072.0	2796.0	4227.0	1925.0	7527.0	1708.0	2739.0	1265.0	1497.0	825.0	1375.0	2339.0	1118.0	1238.0	1704.0	1344.0
Zotu10	140.0	543.0	1062.0	923.0	835.0	94.0	529.0	2211.0	502.0	437.0	860.0	656.0	801.0	419.0	846.0	978.0	1461.0	1515.0	377.0	758.0	382.0	450.0	2031.0	205.0	947.0	392.0	748.0	670.0	4.0	877.0	837.0	1375.0	222.0	518.0	594.0	1367.0	632.0	666.0	3.0	337.0	1064.0	464.0	553.0	508.0	144.0	1279.0	642.0	1168.0	970.0	928.0	251.0	324.0	290.0	610.0	1259.0	235.0	420.0	1326.0	343.0	541.0	410.0	2433.0	231.0	1435.0	159.0	4738.0	5714.0	362.0	1212.0	730.0	270.0	112.0	738.0	564.0	614.0	2208.0	1696.0	486.0	1002.0	444.0	1305.0	636.0	846.0	3898.0	792.0	1531.0	966.0	972.0	1443.0	934.0	1951.0	1757.0	866.0	5238.0	2103.0	3989.0	5574.0	870.0	4479.0	2500.0	1371.0	3942.0	716.0	1725.0	1097.0	1293.0	1614.0	1254.0	338.0	842.0	1945.0	706.0	1085.0	992.0	398.0
Zotu100	44.0	23.67	41.0	38.67	20.33	301.33	269.33	146.33	21.0	229.0	36.0	22.67	0.0	4.67	38.0	16.67	25.33	52.0	11.0	15.67	26.67	12.0	11.0	16.67	59.67	23.33	16.33	30.67	0.33	54.67	31.67	4.33	6.67	13.0	5.67	24.67	17.33	4.0	0.0	12.0	175.0	147.67	10.67	6.0	27.67	6.0	8.33	91.67	72.33	35.0	5.67	4.67	16.0	18.0	6.67	2.67	30.33	19.33	17.67	4.67	7.33	19.67	18.33	85.67	0.33	104.67	46.33	96.0	69.33	5.0	2.67	0.0	25.67	11.67	1.0	16.0	10.0	32.33	80.67	4.0	14.0	24.67	535.67	7.33	15.0	34.33	13.33	0.0	4.33	18.0	6.33	18.33	20.33	206.0	25.33	0.0	15.33	34.67	112.67	36.67	23.33	18.33	3.0	0.0	9.33	46.0	28.33	75.33	4.33	80.0	1.33	26.0	61.0	12.67	40.67
Zotu1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
Zotu1001	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Zotu1002	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	2.0	4.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Zotu1003	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.75	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	2.25	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.5	0.75	0.0	0.5	1.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.75	0.0	0.5	0.0	0.75	0.5	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.5	0.0	0.25	0.0	0.0	0.0	0.25	0.0	1.75	1.75	0.0	0.5	0.5	0.0	1.25	0.25	0.5	0.0	0.25	0.25	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0
Zotu1004	0.0	0.0	0.0	8.0	1.5	0.0	0.5	0.0	0.0	0.0	0.5	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Zotu1005	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	6.0	1.0	0.0	0.0	4.0	0.0	0.0	6.0	2.0	6.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0
Zotu1006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
