sequence	16S_rRNA_Count	metadata_NSTI
Zotu1	1	0.081238
Zotu10	1	0.011361
Zotu100	3	0.158972
Zotu1000	1	0.172519
Zotu1001	1	0.274957
Zotu1002	1	0.572828
Zotu1003	4	0.5496800000000001
Zotu1004	2	0.011477
Zotu1005	1	0.55465
Zotu1006	1	0.6261399999999999
Zotu1007	3	0.18917
Zotu1008	1	0.689413
Zotu1009	1	0.6373439999999999
Zotu101	1	0.17288399999999998
Zotu1010	1	0.590593
Zotu1011	1	0.171933
Zotu1012	1	0.5353180000000001
Zotu1013	1	0.25779
Zotu1014	1	0.18026099999999998
Zotu1015	2	0.01144
Zotu1016	1	0.710208
Zotu1017	1	0.066069
Zotu1018	1	0.681032
Zotu1019	1	0.267849
Zotu102	1	0.145956
Zotu1020	3	0.15023
Zotu1021	2	0.611016
Zotu1022	1	0.788505
Zotu1023	4	0.40008699999999997
Zotu1024	1	0.573804
Zotu1025	2	0.49024799999999996
Zotu1026	1	0.53856
Zotu1027	2	0.44701199999999996
Zotu1028	1	0.185523
Zotu1029	1	0.706887
Zotu103	1	0.14411300000000002
Zotu1030	1	0.14288299999999998
Zotu1031	1	0.5169060000000001
Zotu1032	1	0.109508
Zotu1033	1	0.672404
Zotu1034	1	0.316321
Zotu1035	1	0.382132
Zotu1036	2	0.236315
Zotu1037	1	0.24627399999999997
Zotu1038	1	0.8058569999999999
Zotu1039	1	0.316173
Zotu104	1	0.011117
Zotu1040	1	0.544726
Zotu1041	2	0.530453
Zotu1042	1	0.6904100000000001
Zotu1043	4	0.43024799999999996
Zotu1044	1	0.31954899999999997
Zotu1045	1	0.160853
Zotu1046	2	0.22952199999999998
Zotu1047	1	0.14222100000000001
Zotu1048	1	0.116182
Zotu1049	1	0.8305790000000001
Zotu105	1	0.131583
Zotu1050	1	0.5631619999999999
Zotu1051	1	0.353963
Zotu1052	1	0.576929
Zotu1053	1	0.417155
Zotu1054	1	0.527129
Zotu1055	1	0.14793699999999999
Zotu1056	1	0.209865
Zotu1057	2	0.186893
Zotu1058	1	0.5172979999999999
Zotu1059	1	0.125187
Zotu106	4	0.152148
Zotu1060	1	0.603812
Zotu1061	1	0.331903
Zotu1062	2	0.828475
Zotu1063	1	0.06832
Zotu1064	2	0.562579
Zotu1065	1	0.24211
Zotu1066	1	0.353672
Zotu1067	4	0.49797299999999994
Zotu1068	2	0.200943
Zotu1069	1	1.268693
Zotu107	1	0.07203999999999999
Zotu1070	2	0.581044
Zotu1071	4	0.545025
Zotu1072	4	0.8389030000000001
Zotu1073	1	0.221387
Zotu1074	1	0.01157
Zotu1075	4	0.762947
Zotu1076	4	0.798201
Zotu1077	1	0.138759
Zotu1078	1	0.000101
Zotu1079	1	0.11984700000000001
Zotu108	1	0.176372
Zotu1080	1	0.56394
Zotu1081	1	0.043993
Zotu1082	1	0.31542800000000004
Zotu1083	1	0.141902
Zotu1084	4	0.74393
Zotu1085	1	0.562017
Zotu1086	1	0.395768
Zotu1087	1	0.241119
Zotu1088	1	0.555625
Zotu1089	4	0.40771999999999997
Zotu109	1	0.096198
Zotu1090	1	0.21751900000000002
Zotu1091	1	0.196545
Zotu1092	1	0.064049
Zotu1093	1	0.132349
Zotu1094	4	0.47175900000000004
Zotu1095	1	0.534408
Zotu1096	3	0.21580100000000002
Zotu1097	1	0.504256
Zotu1098	1	0.23476100000000003
Zotu1099	2	0.49655299999999997
Zotu11	1	0.000101
Zotu110	1	0.170247
Zotu1100	1	0.21000100000000002
Zotu1101	1	0.111353
Zotu1102	1	0.12598800000000002
Zotu1103	1	0.751301
Zotu1104	4	0.47266199999999997
Zotu1105	1	0.20861799999999997
Zotu1106	1	0.31440100000000004
Zotu1107	1	0.090039
Zotu1108	2	0.5560039999999999
Zotu1109	1	0.29283200000000004
Zotu111	1	0.17388900000000002
Zotu1110	1	0.16808199999999998
