pathway	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
1CMET2-PWY	9404.5162	12289.2013	53086.589	42459.8078	29875.4799	115057.548	93566.9501	80028.9496	43134.0073	70961.6739	42529.1208	62622.842	41691.6542	28638.9887	36971.3258	54281.2484	38314.8376	54744.1337	36148.9161	22944.7446	25637.0387	37126.8145	97302.334	25425.7189	41536.7132	21635.1599	42097.7285	65777.2642	1407.2758	43585.8817	57935.3835	37651.2179	13492.7998	23527.1433	18902.6728	47741.2378	15969.5561	22396.763	481.7698	16658.9343	46257.5993	35032.59	25228.378	19120.23	12296.0276	42223.9261	38117.4039	48734.6535	37287.8754	50548.3212	11670.5552	25535.9995	21348.8411	19393.9323	44699.2042	14501.4682	37003.3786	37726.6545	18648.376	26287.2599	29638.6972	37101.8394	26476.2893	57657.7651	12343.3264	96045.0081	135210.1203	32517.6878	38071.3132	28594.8794	15912.5975	12045.2253	28120.778	21232.6422	20456.7616	94815.6461	35788.7028	24903.5777	45798.2229	22455.557	33513.8828	37704.3995	85714.3762	131880.6885	34592.2653	92136.2657	27934.4028	57463.0097	81024.5733	35222.8868	110773.6484	108927.1096	34674.9864	147127.6032	87199.6921	119472.3402	113147.9651	63128.0554	169017.0382	110120.2833	106509.7307	140980.5173	52666.0948	154310.6098	59849.4159	59259.713	54612.7295	42832.734	43180.1126	63535.5226	54335.8073	36126.6601	27497.8213	29637.8414	32967.5358
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	3.3447	226.8307	0.6975	2.7435	0.0	4.8122	32.7731	0.0	1.7228	1.3967	0.0	4.5554	0.0	8.3308	0.0	0.0	9.2341	0.0	0.0	0.0	0.3359	0.0	0.0	129.1653	0.0	0.0	13.6187	0.0	0.0	2.7433	0.0	5.1739	0.6914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5695	24.3703	0.0	2.782	0.0	51.0898	0.0	0.0	0.0	0.0	0.0	2.5636	2.77	0.0	13.5458	1.0537	0.0	0.0	0.0	0.3356	0.3353	332.6947	13.4438	47.7105	0.3357	0.0	1.3941	884.9887	0.0	4.1596	0.0	8.2986	0.0	0.0	0.6972	0.0	0.0	0.0	102.6974	12.5759	0.0	0.0	0.0	0.0	3.8433	0.0	4.0477	19.7586	0.0	1.7261	0.0	0.0	0.0	0.0	0.3359	3.1187	0.0	0.0	1.0627	0.0	6.6237	2.7914	0.0	0.0	0.0	28.1281	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	926.3864	0.0	0.0	0.0	0.1866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	0.0	76.9265	1218.2368	427.9289	29.7693	803.0992	213.9529	697.7271	0.0	29.2863	24.7329	157.6033	178.3492	29.9232	204.5471	365.3383	30.8371	157.5149	119.0107	74.2262	136.0581	43.6659	31.0441	330.7614	765.0284	0.0	13.8419	229.7963	0.0	40.6745	581.3135	72.4661	351.9557	131.5909	32.1193	118.2217	39.2759	0.0	0.0	112.7351	319.345	0.0	79.1185	28.4861	57.6607	552.7152	275.3527	533.7296	45.6169	729.4448	0.0	183.7164	64.4188	16.2567	0.0	28.1231	1331.2146	93.0111	1559.7102	16.7043	269.0738	1491.2447	0.0	506.0104	436.6782	3771.6287	3682.7097	409.8156	118.5622	16.0462	62.0534	3290.2858	65.3137	69.3256	54.4676	343.795	398.567	45.2765	360.0351	15.3588	0.0	0.0	2218.0334	381.7593	88.5427	174.6733	133.9243	670.9367	60.1547	30.305	104.6675	254.5399	128.6656	378.7333	733.349	424.3773	397.3582	0.0	139.8626	274.4749	1785.661	16.9694	19.1561	291.6231	275.263	148.1988	119.4592	307.1796	106.1033	1060.7239	32.7055	0.0	43.1816	798.6126	14.9902
ANAEROFRUCAT-PWY	7642.9585	10458.5073	46287.9637	34410.47	24686.8931	47885.4506	58300.5724	64821.468	32345.8399	43896.1145	35931.1968	46613.3403	33842.3013	21010.5569	29890.7167	49886.7133	32210.2568	47415.4133	30226.0	18951.2881	20966.4864	34627.5919	85625.099	19634.8918	35456.0217	17883.0647	31267.59	52494.6239	1272.7311	39496.8114	43166.5357	29447.9574	13375.8178	23055.2889	15951.2289	39233.1571	14053.1679	19867.3403	324.4811	14053.9972	33819.3372	25443.1724	21114.2836	18290.888	10088.2194	41523.8601	30989.8785	40016.4768	31632.3174	41587.0392	9500.0211	20546.6277	16928.0391	14611.0314	37148.6416	10657.823	37033.1336	35466.1065	19217.4043	22307.4807	24963.7895	34531.9835	27799.6731	54834.1143	11223.6191	91963.2609	128786.9934	25934.2383	33044.6451	23025.4801	12907.0909	11101.2484	22607.8678	21281.4489	18251.26	99742.2535	31082.1188	20713.1437	34359.5997	18441.0541	29426.2447	29296.2504	68570.8594	133335.1309	29996.8818	79364.0663	24725.946	51091.3385	69158.4378	29166.7941	90629.0891	99084.8473	29116.1823	127217.6096	79978.8611	108272.1426	112016.7444	50518.8314	165011.4878	100301.3603	92759.6801	129357.89	38878.5926	115059.8463	56764.2367	49610.8424	43160.3047	35811.0509	29384.2317	66069.2729	48284.6136	34381.8933	22355.302	24797.2158	25000.9417
ANAGLYCOLYSIS-PWY	11992.7987	15744.0898	66337.6214	54364.0056	36774.0238	149263.5094	120699.5543	101840.6573	53546.4827	89968.5379	54159.7456	78430.0498	53101.3714	35464.7526	47686.5279	66366.6493	48093.5076	68686.7712	45942.8952	28520.769	32369.3218	45322.2228	118597.3766	32499.4675	52703.8732	27109.5784	53192.0603	82893.7492	1722.0378	52838.5059	72518.8976	45679.2765	17913.347	30861.7671	22973.2801	61168.2256	19974.4931	28028.7716	568.1026	21111.6078	57265.8729	44916.8045	31585.6003	24851.219	15119.8599	53866.2073	49186.5027	63219.7937	46718.183	64440.1903	14282.871	32030.0365	27099.5489	24585.5059	56302.7112	18050.7832	48421.8499	47329.5178	24119.2498	32705.7706	37296.3864	46322.4565	34810.6795	73420.8988	15051.227	121923.5557	171656.8251	42476.9466	47964.1092	35627.4219	19518.8015	14827.3572	35324.503	27730.1834	25660.6224	124960.1294	45546.2875	31518.6264	57126.0965	28100.2645	42625.39	46954.5281	108769.1773	167188.7869	43580.3495	116524.4584	34326.9962	70944.441	100398.4976	44767.5656	138830.8409	139794.5978	42433.6523	179636.1193	109617.0429	150419.5745	141901.3458	83076.6388	222033.2692	135054.5576	136430.0981	180415.3211	67071.8748	190734.2235	77424.8627	76065.1986	69979.3418	53090.3524	52606.2951	85557.174	67946.811	46494.1466	34505.4726	37626.2874	42040.2073
ARG+POLYAMINE-SYN	1309.7207	1755.2282	10049.2901	7663.9252	6500.6632	12766.4283	9720.4512	15661.6393	8637.4861	10319.705	5655.8967	10554.1458	8576.8932	4292.3887	4265.1578	10701.4575	6319.1315	5822.3709	5018.0684	2923.6508	3420.4109	5309.419	15620.0938	2978.2925	5678.8982	3417.98	8789.5849	5413.1128	41.5497	4798.592	7999.5502	3877.2451	2882.8	4263.7781	2596.0913	8069.3006	2196.8985	3100.1173	100.7521	2453.9811	8667.3484	5641.5858	3606.6559	3854.2308	2412.1727	6388.5705	5620.0996	7068.1143	5843.3711	9742.7248	2057.0115	4176.7822	3345.2329	2975.1608	4236.1821	2098.6641	6765.027	6266.8921	4283.7802	2870.6218	4507.8134	7227.2146	5755.9597	9868.1221	1247.0331	12348.0812	18003.7923	5627.1475	5046.5084	5159.1606	1808.7898	4066.1941	3006.3367	4963.4436	3207.0006	17363.6727	5853.8166	2955.5779	7660.1662	3481.9964	5074.5729	6546.5617	13651.2926	22667.0829	5050.0433	12710.7603	3498.7209	11918.124	10484.8635	5827.3252	14322.1995	13525.9785	5511.1601	19647.881	11735.0645	17880.0453	18670.6296	10665.2338	24877.4617	13630.8914	14153.7459	17952.4534	7726.3038	23195.0583	11420.4997	9353.9716	6976.5458	5937.404	6098.0028	10782.4621	8798.8306	7005.5005	3924.6168	4574.1832	5728.7336
ARGDEG-PWY	0.0	0.5823	242.1214	40.8345	1.5608	99.428	12.2253	54.5963	0.0	1.4449	1.1661	11.532	10.0515	1.5543	0.0	42.3092	1.5606	17.0358	10.0312	6.9137	13.0088	3.3775	1.562	69.7259	114.738	0.0	0.7692	13.5257	0.0	3.0822	131.1975	3.8747	71.905	9.1229	1.5566	8.5486	3.0873	0.0	0.0	16.1222	32.4428	0.0	3.8792	1.5621	4.0456	24.0965	27.5878	27.684	6.1927	59.8779	0.0	17.812	4.6372	0.7694	0.0	1.551	385.1276	6.2076	543.2098	0.8856	14.5936	428.6923	0.0	38.7006	75.649	732.8449	688.8577	55.0789	7.9891	0.7689	11.8537	1814.1461	0.7689	3.495	3.8777	16.4777	49.7655	2.3276	44.6802	0.7694	0.0	0.0	165.2505	10.7689	10.8054	11.6222	13.0329	122.3842	3.216	1.561	5.0534	16.8866	11.3914	21.5266	83.6053	39.3914	24.8372	0.0	8.7832	19.6281	166.9963	0.7699	0.8864	38.9848	14.8464	8.5403	6.9693	32.0816	7.6595	126.3932	1.5613	0.0	3.7245	103.9966	0.7691
ARGORNPROST-PWY	1193.6011	1176.7785	4297.3334	4305.4686	2247.9146	13990.4035	9679.8135	8950.6862	5292.3866	7603.0418	3811.2338	7512.6792	3472.2094	2052.7681	3842.3781	4760.1133	3406.7963	3580.2185	3567.8509	1284.6981	2767.3888	3355.3703	6476.395	1925.0026	3071.7854	1518.6243	2951.0301	5430.1079	12.7249	3301.2406	4634.0937	2298.0369	1788.3572	1982.9217	1334.1769	4695.7282	1687.1248	1981.5752	23.9836	1526.2854	3738.5785	3383.0651	3030.6877	1525.3816	1073.6062	3682.9332	5588.662	5853.9555	3039.4657	4902.2391	783.7107	2254.2734	2521.4	1808.2099	3922.423	2034.3579	4121.2576	2510.4075	2098.1076	2353.236	2399.4546	4092.5998	3695.1308	6233.8583	1223.8225	9202.6157	11279.8816	4124.3199	4330.1706	2311.987	965.8225	3238.2558	2217.5631	3044.8635	2627.0523	10121.058	4089.1394	2798.9896	3771.6468	2074.2223	2827.7516	2730.5461	8542.1639	9809.9982	3489.2827	7104.5137	2371.132	4730.0868	4380.0442	2388.2138	7576.8878	7415.4214	2110.8693	10479.7814	7613.5504	9785.7946	9345.9022	11283.701	14732.2466	9201.8691	7378.7606	16975.3602	5692.7291	9176.6219	8210.665	7047.7725	5168.8026	3685.4383	2502.4154	9287.1504	5105.62	3352.588	2156.8968	3274.6924	2860.3041
ARGSYN-PWY	8714.7059	11044.0159	46210.2758	41348.6071	27776.9638	115926.3282	92329.7394	72582.7898	40441.3818	68748.2351	38534.1971	59210.3304	38412.3201	26545.8896	32871.3393	47285.0184	34479.9736	45091.0739	32705.4436	19592.3936	22914.8642	31841.3281	85330.3321	24230.6661	36110.7868	18959.7036	39983.8807	59997.5028	1566.5714	38122.592	53019.8374	27054.0865	12145.3699	20599.3801	16762.7421	43979.9102	13988.6451	19067.5549	482.5681	15578.9314	43213.5609	34249.0783	22318.2903	17592.5615	11649.2121	36072.072	36019.7235	44905.7364	32265.4567	47159.0451	10787.0703	22903.485	19790.337	18404.628	39330.0594	13657.9054	32400.1986	30855.1329	16689.6005	23126.2018	26890.7819	31226.5274	23956.0202	48080.8195	9951.6574	79846.7596	102384.1884	30781.7941	32938.2909	25651.7648	12762.3782	11504.8489	25060.2882	18559.7421	17330.2968	78619.7228	32048.3483	21994.4962	41854.6826	20170.5313	29509.3206	35098.1868	80291.3153	107170.4818	30682.175	78586.7231	23243.4145	48580.2204	66203.7942	32072.5912	99076.8377	94692.5608	29602.9952	120783.1336	68417.8865	96325.6379	92342.1038	60650.3522	150338.692	99185.056	97417.1417	121686.239	48175.0643	141087.5665	55017.734	54963.3474	48724.211	39363.672	40180.6225	58186.1853	44436.9004	32460.4586	24789.1988	27218.8881	30609.3789
ARGSYNBSUB-PWY	8723.8921	11024.8296	46223.8098	42059.5338	28081.8596	120279.2931	94853.1292	72797.7869	41141.0495	70244.6661	38395.7249	60060.8769	38776.7674	26899.2811	32805.501	47075.4254	34456.76	44276.9136	32678.5172	19471.1994	22726.842	31390.7072	84977.9949	24494.7273	35817.3245	18948.4003	40459.531	60184.8986	1711.6792	38021.1848	53663.0993	25202.6206	12255.7313	20549.3351	16873.4519	44039.0841	13848.8472	18802.6269	497.4657	15705.4597	43861.3184	34880.1056	22270.2606	17537.574	11941.3273	35943.4355	36201.0102	45083.4168	31919.5895	47514.5068	10899.8158	23028.184	19961.935	18680.828	39466.3285	13975.8455	32597.0363	30348.1098	16646.6258	22910.2603	27307.995	30781.1782	23932.2752	47716.7148	9681.5998	78512.4046	100529.6362	31073.0019	32601.9629	25731.5002	12671.1442	11818.4709	25127.8822	18283.9894	17054.2837	76314.6047	32269.7623	21951.7506	42219.5037	20139.8179	29261.1917	35410.4861	81606.9859	104934.6171	30421.3827	77380.6927	22811.2385	48413.6771	65233.7133	32112.2919	98511.1514	93828.4198	29416.3234	118359.8803	67238.8267	94783.7285	90221.3113	61652.9721	150155.0253	99859.6979	98279.7508	121655.5438	48669.0641	141312.9501	55341.7617	55148.1765	49096.6501	39547.3609	41298.2733	59359.6354	44136.3674	32809.5671	24809.377	27274.8966	30822.2968
