OTU	KW_Statistic	DF	P_value	Test	Taxonomy
Zotu1	0.0926332832617784	1	0.760855798863463	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Rikenellaceae,g:Alistipes
Zotu10	0.0908937297936472	1	0.763044023204512	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides
Zotu100	8.03290664050163	1	0.00459350666709063	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Roseburia,s:uncultured_bacterium
Zotu1000	6.38653703142612	1	0.0114989144117199	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1001	12.35760576693	1	0.000439193561051978	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:uncultured,s:uncultured_bacterium
Zotu1002	9.76727646194784	1	0.00177645415880604	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
Zotu1003	0.0623425652927476	1	0.802831011688182	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae
Zotu1004	2.74988164681424	1	0.0972616276728689	Kruskal-Wallis rank sum test	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter
Zotu1005	4.17938585413726	1	0.0409185259396165	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
Zotu1006	3.00031326640887	1	0.0832484185051863	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014,s:uncultured_bacterium
Zotu1007	1.21189371799366	1	0.27095739994062	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1008	1.56525780484735	1	0.21089703409606	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39,f:uncultured_bacterium,g:uncultured_bacterium,s:uncultured_bacterium
Zotu1009	0.487373387427834	1	0.485101321515564	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014,s:uncultured_bacterium
Zotu101	0.51948740053262	1	0.471060424257184	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:A2,s:uncultured_bacterium
Zotu1010	5.96910834469432	1	0.014558640584626	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014
Zotu1011	5.78797110596825	1	0.01613620173832	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1012	0.0166061481880992	1	0.897464594577067	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
Zotu1013	1.4135638686939	1	0.234465670588575	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1014	0.91958257869026	1	0.33758459734054	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1015	0.382693018674384	1	0.536165490632145	Kruskal-Wallis rank sum test	k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales,f:Corynebacteriaceae
Zotu1016	1.52683206633957	1	0.216588518440895	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Christensenellaceae,g:Christensenellaceae_R_7_group
Zotu1017	0.69421335375142	1	0.404734949602033	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1018	0.504547868208987	1	0.477508615375009	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39
Zotu1019	1.51834395122559e-05	1	0.996890976216754	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,s:uncultured_bacterium
Zotu102	9.33683038422949	1	0.00224593648450833	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1020	1.2401708963514	1	0.265438120472947	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae
Zotu1021	14.64790508736	1	0.000129578587914864	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_vadinBB60_group
Zotu1022	2.20516690247857	1	0.137549006040523	Kruskal-Wallis rank sum test	k:Bacteria
Zotu1023	1.90096255740013	1	0.167970617807975	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae,g:uncultured_bacterium,s:uncultured_bacterium
Zotu1024	0.0225935470035035	1	0.880518860457266	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014
Zotu1025	3.78255937640404	1	0.0517893867150532	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales
Zotu1026	0.0190839405091264	1	0.890126109354744	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_010
Zotu1027	7.99865735444275	1	0.00468120484568595	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptococcaceae,g:uncultured
