# Constructed from biom file
#OTU ID	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae	0.0	0.0	0.0	5.4159445407279026e-05	0.0	0.0	0.0	0.0	0.0	1.207627374497325e-05	0.0	0.0	4.159214740257039e-05	0.0	8.642482120865113e-05	0.0	2.2161647053609024e-05	0.0	6.930487213251092e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8351991191044228e-05	0.0	0.00010167423574866129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2326910625376767e-05	0.0	0.0	0.0	0.0	6.193868070610096e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.205783790492739e-05	0.0	0.0	0.0	7.106815436003127e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2676765386185313e-05	3.716884878783092e-05	0.0	2.510922512931251e-05	9.392846408175533e-06	0.0	0.0	1.0046515366145252e-05	0.0	0.0	0.0	0.0	2.1876093804690234e-05	0.0	0.0	0.0	0.0	1.3864241348713399e-05	0.0	7.369033845972455e-06	4.1038689224266176e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4497796334957086e-05	0.0	5.922767116796968e-05	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Solibacteres;D_3__Solibacterales;D_4__Solibacteraceae (Subgroup 3)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.042749489400662e-05	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008367862011256124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005527123848515865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.880268414065673e-05	5.021845025862502e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.964027358211497e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Bogoriellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.392846408175533e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7331452541425675e-06	0.0	0.0	0.0	1.473806769194491e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Cellulomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.145313482910463e-05	5.768676088837612e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.213417738329755e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.415372066293426e-06	0.0	1.0938046902345117e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.981414333551289e-05	0.0	0.0	1.4497796334957086e-05	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Demequinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1937513105472846e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7843123260295483e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4690234511725585e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.129836153033272e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae	0.0	0.0	4.6712237049032275e-05	0.0	0.0	0.0	0.0	2.0968756552736423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.242827565808931e-06	0.0	0.0	0.0	0.0	0.0	1.2496875781054736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6703982382088455e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2123489867793344e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae	0.0010425716768027802	0.0025443674066535213	0.0011210936891767745	0.0008123916811091853	0.0007827351000782735	0.003257928264252478	0.0020044665739181373	0.0012790941497169217	0.0015767714642822804	0.0006400425084835822	0.0007606215364555035	0.000821853475266124	0.001518113380193819	0.0013196480938416422	0.0014476157552449065	0.0013342739709220294	0.0009086275291979699	0.00041416124677874595	0.0005082357289717467	0.00028735632183908046	0.00013299198723276922	0.00029770083356233393	0.0003657840268360574	0.0002677645011212638	0.0007831160186381613	0.0009184423218221896	0.00022319164045855736	0.000809793097863496	0.0	0.00020662010826893675	0.0005901445854234287	0.0006094110477517085	0.0015033976787539845	0.0013548824155617924	0.0004211314398016003	0.0010002281222033095	0.0005270092226613966	0.0005281424475629998	0.0	0.00043908864711909054	0.0006063362134303471	0.0021428907832148074	0.0041880235029378675	0.0007536426059286551	0.0007761236153249135	0.0008625435859790787	0.001574200136147039	0.0021351589507218873	0.0001968546993591286	0.002489947417259512	0.0010610883735031075	0.0016668889185224697	0.001438737022203212	0.0016766261123769399	0.0019001490312965724	0.0007964222263064388	0.0006191128996594879	0.00044653821250753534	0.001493156366652841	0.00035422167836671604	0.0032783472966644123	0.002182226286474353	0.0016413750387116754	0.0015608812763312381	0.0009977384594918185	0.001855097982187915	0.0019328406700514324	0.0024343723334839125	0.0016600633037473162	0.0013963013528608661	0.0001038637307852098	0.0	0.0007024831251336247	0.002380783171061048	0.0011020857994203845	0.0014451120180770372	0.002532964041379637	0.002770176683220161	0.0014439773350392979	0.0010352732381867927	0.0004524132676143535	0.0004081817769513357	0.0013566629807558288	0.0011820402621098506	0.0005775121779741878	0.0004320709347760745	0.0012300474855540934	0.0010969207866489072	0.0005626048605041342	0.0009319664492078285	0.0011819605194486238	0.0005190760446405398	0.0008022261776429591	0.0011703710185509276	0.0012280717480749755	0.0010298454563084723	0.0011446346932042365	0.001274344484920257	0.0024447278911564623	0.0009826672613063427	0.0017464610214954718	0.0010054478859945213	0.0009023476332492162	0.0003622388625699715	0.004236440889777556	0.0012174033340250398	0.0013424562619088862	0.0011095920267887218	0.0007805907172995782	0.0007280530329156607	0.0018267223382045928	0.0007277507805714017	0.0015103056147832265	0.001860032550569635	0.000589516852492631
